starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:12:28 2021	1624108348	20	25	45	24
Sat Jun 19 15:12:29 2021	1624108349	21	26	47	25
Sat Jun 19 15:12:23 2021	1624108343	20	27	47	25
Sat Jun 19 15:12:27 2021	1624108347	21	26	47	25
Sat Jun 19 15:12:22 2021	1624108342	22	26	48	25
Sat Jun 19 15:12:29 2021	1624108349	23	26	48	26
Sat Jun 19 15:12:24 2021	1624108344	21	28	49	27
Sat Jun 19 15:12:38 2021	1624108358	23	26	49	25
Sat Jun 19 15:12:29 2021	1624108349	24	25	49	24
Sat Jun 19 15:12:24 2021	1624108344	23	26	49	24
Sat Jun 19 15:12:17 2021	1624108337	23	26	49	26
Sat Jun 19 15:12:17 2021	1624108337	21	28	50	27
Sat Jun 19 15:12:39 2021	1624108359	23	27	50	27
Sat Jun 19 15:12:26 2021	1624108346	23	26	50	25
Sat Jun 19 15:12:23 2021	1624108343	21	29	50	29
Sat Jun 19 15:12:20 2021	1624108340	25	25	50	24
Sat Jun 19 15:12:30 2021	1624108350	24	26	50	25
Sat Jun 19 15:12:14 2021	1624108334	19	31	50	30
Sat Jun 19 15:12:23 2021	1624108343	21	29	50	28
Sat Jun 19 15:12:14 2021	1624108334	23	27	50	26
Sat Jun 19 15:12:33 2021	1624108353	22	28	50	28
Sat Jun 19 15:12:42 2021	1624108362	24	26	50	25
Sat Jun 19 15:12:30 2021	1624108350	25	26	51	26
Sat Jun 19 15:12:41 2021	1624108361	25	25	51	24
Sat Jun 19 15:12:22 2021	1624108342	24	27	51	26
Sat Jun 19 15:12:39 2021	1624108359	24	27	51	26
Sat Jun 19 15:12:26 2021	1624108346	23	28	51	27
Sat Jun 19 15:12:30 2021	1624108350	24	27	51	26
Sat Jun 19 15:12:37 2021	1624108357	25	26	51	25
Sat Jun 19 15:12:16 2021	1624108336	23	28	51	28
Sat Jun 19 15:12:42 2021	1624108362	23	28	51	27
Sat Jun 19 15:12:42 2021	1624108362	24	27	51	26
Sat Jun 19 15:12:27 2021	1624108347	25	26	51	25
Sat Jun 19 15:12:16 2021	1624108336	26	25	51	24
