Percentage served,Time in ms
0,61.237
1,73.849
2,87.376
3,122.819
4,146.305
5,176.549
6,205.556
7,234.114
8,260.231
9,260.973
10,261.948
11,262.110
12,262.277
13,262.783
14,263.277
15,263.769
16,264.381
17,264.748
18,264.996
19,264.998
20,265.257
21,265.410
22,265.521
23,265.524
24,265.551
25,265.892
26,265.928
27,266.162
28,266.275
29,266.305
30,266.338
31,266.365
32,266.482
33,266.705
34,266.952
35,267.493
36,267.546
37,267.668
38,267.763
39,267.882
40,267.928
41,268.369
42,268.565
43,268.569
44,268.734
45,269.518
46,269.598
47,269.606
48,269.717
49,270.007
50,270.126
51,271.438
52,271.575
53,271.616
54,271.759
55,272.061
56,272.309
57,272.922
58,272.966
59,273.062
60,273.145
61,273.645
62,275.010
63,275.363
64,275.467
65,276.124
66,276.568
67,276.734
68,277.536
69,277.666
70,277.943
71,278.049
72,278.141
73,278.326
74,278.376
75,278.628
76,278.686
77,279.446
78,279.997
79,280.200
80,280.658
81,280.950
82,281.161
83,281.897
84,283.117
85,283.773
86,284.034
87,284.825
88,285.081
89,285.944
90,286.079
91,286.248
92,286.409
93,287.088
94,287.828
95,288.268
96,293.321
97,294.371
98,294.547
99,313.113
100,313.113
