starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 14:02:26 2021	1624104146	24	29	53	28
Sat Jun 19 14:02:26 2021	1624104146	30	43	73	42
Sat Jun 19 14:02:26 2021	1624104146	24	55	79	55
Sat Jun 19 14:02:26 2021	1624104146	29	79	108	79
Sat Jun 19 14:02:25 2021	1624104145	28	108	136	108
Sat Jun 19 14:02:25 2021	1624104145	26	137	163	137
Sat Jun 19 14:02:25 2021	1624104145	24	163	187	163
Sat Jun 19 14:02:25 2021	1624104145	29	187	217	187
Sat Jun 19 14:02:25 2021	1624104145	24	217	241	217
Sat Jun 19 14:02:25 2021	1624104145	26	241	267	241
Sat Jun 19 14:02:25 2021	1624104145	27	267	294	267
Sat Jun 19 14:02:25 2021	1624104145	27	295	322	294
Sat Jun 19 14:02:25 2021	1624104145	27	322	349	322
Sat Jun 19 14:02:25 2021	1624104145	28	349	377	349
Sat Jun 19 14:02:25 2021	1624104145	26	377	403	377
Sat Jun 19 14:02:25 2021	1624104145	27	403	430	403
Sat Jun 19 14:02:25 2021	1624104145	25	431	456	430
Sat Jun 19 14:02:25 2021	1624104145	25	456	481	456
Sat Jun 19 14:02:25 2021	1624104145	29	481	510	481
Sat Jun 19 14:02:25 2021	1624104145	25	510	535	510
Sat Jun 19 14:02:25 2021	1624104145	24	535	559	535
Sat Jun 19 14:02:25 2021	1624104145	21	558	579	49
Sat Jun 19 14:02:25 2021	1624104145	27	580	607	70
Sat Jun 19 14:02:25 2021	1624104145	30	607	637	98
Sat Jun 19 14:02:25 2021	1624104145	34	637	671	128
Sat Jun 19 14:02:25 2021	1624104145	26	671	697	162
Sat Jun 19 14:02:25 2021	1624104145	26	697	723	188
Sat Jun 19 14:02:25 2021	1624104145	28	723	751	214
Sat Jun 19 14:02:25 2021	1624104145	27	752	779	242
Sat Jun 19 14:02:19 2021	1624104139	26	774	800	296
Sat Jun 19 14:02:19 2021	1624104139	28	772	801	322
