Percentage served,Time in ms
0,63.315
1,292.744
2,521.296
3,524.939
4,527.552
5,528.737
6,529.926
7,530.640
8,531.149
9,531.840
10,532.164
11,532.665
12,533.098
13,533.228
14,533.482
15,533.763
16,534.205
17,534.352
18,534.764
19,535.065
20,535.448
21,535.628
22,536.094
23,536.279
24,536.484
25,536.781
26,537.005
27,537.232
28,537.527
29,537.696
30,537.842
31,538.061
32,538.176
33,538.352
34,538.695
35,538.853
36,539.144
37,539.405
38,539.581
39,539.940
40,540.178
41,540.533
42,540.832
43,540.970
44,541.081
45,541.200
46,541.526
47,541.748
48,541.859
49,542.067
50,542.270
51,542.480
52,542.630
53,542.777
54,543.012
55,543.255
56,543.395
57,543.561
58,543.840
59,544.147
60,544.369
61,544.555
62,544.820
63,545.020
64,545.235
65,545.475
66,545.849
67,546.181
68,546.484
69,546.943
70,547.291
71,547.681
72,548.155
73,548.609
74,549.127
75,549.648
76,550.011
77,550.365
78,550.803
79,551.288
80,551.826
81,552.287
82,552.730
83,553.184
84,554.241
85,554.843
86,555.483
87,555.949
88,556.308
89,556.999
90,557.457
91,558.067
92,558.822
93,560.407
94,562.164
95,563.649
96,566.354
97,569.698
98,574.958
99,578.157
100,582.931
