Percentage served,Time in ms
0,58.744
1,171.027
2,312.731
3,456.018
4,602.256
5,738.230
6,879.278
7,1023.441
8,1157.863
9,1295.720
10,1312.268
11,1320.777
12,1328.372
13,1332.644
14,1340.964
15,1344.449
16,1346.784
17,1347.981
18,1348.801
19,1349.972
20,1351.270
21,1352.573
22,1353.674
23,1354.495
24,1355.812
25,1357.311
26,1359.055
27,1359.914
28,1360.950
29,1361.861
30,1362.530
31,1363.699
32,1364.241
33,1364.878
34,1365.577
35,1366.068
36,1366.950
37,1367.394
38,1368.133
39,1368.764
40,1369.040
41,1369.452
42,1369.765
43,1370.242
44,1370.560
45,1371.134
46,1371.741
47,1372.047
48,1372.396
49,1373.172
50,1373.707
51,1374.086
52,1374.704
53,1375.273
54,1375.443
55,1376.006
56,1377.039
57,1377.287
58,1377.806
59,1378.204
60,1378.439
61,1379.024
62,1379.496
63,1379.922
64,1380.347
65,1380.804
66,1381.680
67,1382.290
68,1382.952
69,1383.550
70,1383.945
71,1384.294
72,1385.260
73,1385.956
74,1387.103
75,1388.568
76,1389.097
77,1389.985
78,1390.433
79,1391.224
80,1391.980
81,1393.089
82,1394.509
83,1395.831
84,1397.389
85,1399.750
86,1400.757
87,1401.511
88,1404.212
89,1406.899
90,2356.030
91,2362.741
92,2364.798
93,2365.826
94,2367.872
95,2368.763
96,2375.837
97,2379.089
98,2379.719
99,2381.360
100,2384.666
