starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 14:00:46 2021	1624104046	24	34	59	32
Sat Jun 19 14:00:48 2021	1624104048	27	32	59	32
Sat Jun 19 14:00:43 2021	1624104043	33	26	59	25
Sat Jun 19 14:00:44 2021	1624104044	28	30	59	30
Sat Jun 19 14:00:49 2021	1624104049	27	32	59	30
Sat Jun 19 14:00:47 2021	1624104047	26	33	59	32
Sat Jun 19 14:00:50 2021	1624104050	28	31	59	30
Sat Jun 19 14:00:43 2021	1624104043	30	29	59	26
Sat Jun 19 14:00:50 2021	1624104050	26	33	59	32
Sat Jun 19 14:00:52 2021	1624104052	26	34	59	33
Sat Jun 19 14:00:48 2021	1624104048	27	32	59	31
Sat Jun 19 14:00:47 2021	1624104047	24	35	59	35
Sat Jun 19 14:00:51 2021	1624104051	27	32	59	31
Sat Jun 19 14:00:42 2021	1624104042	27	32	59	32
Sat Jun 19 14:00:52 2021	1624104052	28	32	59	31
Sat Jun 19 14:00:48 2021	1624104048	29	30	59	29
Sat Jun 19 14:00:42 2021	1624104042	29	30	60	29
Sat Jun 19 14:00:44 2021	1624104044	30	30	60	30
Sat Jun 19 14:00:44 2021	1624104044	25	35	60	33
Sat Jun 19 14:00:45 2021	1624104045	27	33	60	32
Sat Jun 19 14:00:50 2021	1624104050	25	35	60	35
Sat Jun 19 14:00:49 2021	1624104049	29	30	60	29
Sat Jun 19 14:00:45 2021	1624104045	25	35	60	35
Sat Jun 19 14:00:53 2021	1624104053	29	31	60	31
Sat Jun 19 14:00:52 2021	1624104052	27	33	60	33
Sat Jun 19 14:00:49 2021	1624104049	25	35	60	34
Sat Jun 19 14:00:48 2021	1624104048	27	33	60	33
Sat Jun 19 14:00:46 2021	1624104046	26	35	60	34
Sat Jun 19 14:00:45 2021	1624104045	26	35	60	34
Sat Jun 19 14:00:44 2021	1624104044	28	33	60	32
Sat Jun 19 14:00:53 2021	1624104053	26	34	60	33
Sat Jun 19 14:00:42 2021	1624104042	28	32	60	32
Sat Jun 19 14:00:43 2021	1624104043	25	35	60	34
Sat Jun 19 14:00:50 2021	1624104050	20	41	60	41
Sat Jun 19 14:00:43 2021	1624104043	30	31	61	30
Sat Jun 19 14:00:45 2021	1624104045	27	34	61	33
Sat Jun 19 14:00:49 2021	1624104049	26	35	61	34
Sat Jun 19 14:00:49 2021	1624104049	30	31	61	30
Sat Jun 19 14:00:51 2021	1624104051	28	32	61	32
Sat Jun 19 14:00:47 2021	1624104047	28	33	61	32
Sat Jun 19 14:00:51 2021	1624104051	28	33	61	33
Sat Jun 19 14:00:53 2021	1624104053	32	29	61	29
Sat Jun 19 14:00:50 2021	1624104050	29	32	61	31
Sat Jun 19 14:00:49 2021	1624104049	27	34	61	33
Sat Jun 19 14:00:47 2021	1624104047	28	33	61	32
Sat Jun 19 14:00:46 2021	1624104046	27	34	61	32
Sat Jun 19 14:00:51 2021	1624104051	27	35	61	34
Sat Jun 19 14:00:51 2021	1624104051	26	35	61	33
Sat Jun 19 14:00:46 2021	1624104046	26	36	61	35
Sat Jun 19 14:00:49 2021	1624104049	30	31	62	30
Sat Jun 19 14:00:46 2021	1624104046	32	30	62	29
Sat Jun 19 14:00:42 2021	1624104042	29	33	62	31
Sat Jun 19 14:00:51 2021	1624104051	26	36	62	36
Sat Jun 19 14:00:52 2021	1624104052	31	32	62	29
Sat Jun 19 14:00:43 2021	1624104043	30	32	63	32
Sat Jun 19 14:00:42 2021	1624104042	28	35	63	34
Sat Jun 19 14:00:51 2021	1624104051	28	35	63	34
Sat Jun 19 14:00:50 2021	1624104050	28	35	63	34
Sat Jun 19 14:00:47 2021	1624104047	29	34	63	33
Sat Jun 19 14:00:46 2021	1624104046	28	35	63	34
Sat Jun 19 14:00:45 2021	1624104045	25	38	63	37
Sat Jun 19 14:00:52 2021	1624104052	28	35	63	32
Sat Jun 19 14:00:42 2021	1624104042	27	36	63	35
Sat Jun 19 14:00:47 2021	1624104047	31	33	64	32
Sat Jun 19 14:00:52 2021	1624104052	24	40	64	40
Sat Jun 19 14:00:51 2021	1624104051	30	34	64	33
Sat Jun 19 14:00:52 2021	1624104052	34	30	64	29
Sat Jun 19 14:00:50 2021	1624104050	32	33	65	32
Sat Jun 19 14:00:50 2021	1624104050	29	36	65	35
Sat Jun 19 14:00:41 2021	1624104041	30	35	65	34
Sat Jun 19 14:00:48 2021	1624104048	28	37	65	36
Sat Jun 19 14:00:52 2021	1624104052	28	38	65	37
Sat Jun 19 14:00:52 2021	1624104052	31	35	65	34
Sat Jun 19 14:00:46 2021	1624104046	27	39	66	39
Sat Jun 19 14:00:44 2021	1624104044	32	33	66	31
Sat Jun 19 14:00:48 2021	1624104048	30	36	66	35
Sat Jun 19 14:00:49 2021	1624104049	33	34	68	34
Sat Jun 19 14:00:53 2021	1624104053	37	31	68	31
Sat Jun 19 14:00:48 2021	1624104048	26	47	73	46
Sat Jun 19 14:00:52 2021	1624104052	25	58	84	57
