starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 22:40:20 2021	1624135220	23	75	98	74
Sat Jun 19 22:40:18 2021	1624135218	27	102	129	54
Sat Jun 19 22:40:18 2021	1624135218	26	103	130	81
Sat Jun 19 22:40:18 2021	1624135218	22	108	130	55
Sat Jun 19 22:40:18 2021	1624135218	23	107	130	107
Sat Jun 19 22:40:18 2021	1624135218	25	106	131	105
Sat Jun 19 22:40:18 2021	1624135218	28	106	134	78
Sat Jun 19 22:40:21 2021	1624135221	26	107	134	80
Sat Jun 19 22:40:18 2021	1624135218	28	108	136	107
Sat Jun 19 22:40:19 2021	1624135219	26	113	139	86
Sat Jun 19 22:40:21 2021	1624135221	30	110	140	58
Sat Jun 19 22:40:21 2021	1624135221	28	114	142	87
Sat Jun 19 22:40:19 2021	1624135219	27	115	143	85
Sat Jun 19 22:40:18 2021	1624135218	25	135	160	75
Sat Jun 19 22:40:20 2021	1624135220	26	135	161	134
Sat Jun 19 22:40:21 2021	1624135221	29	133	162	108
Sat Jun 19 22:40:20 2021	1624135220	27	138	165	82
Sat Jun 19 22:40:20 2021	1624135220	28	140	168	54
Sat Jun 19 22:40:18 2021	1624135218	26	143	169	143
Sat Jun 19 22:40:20 2021	1624135220	30	142	172	142
Sat Jun 19 22:40:18 2021	1624135218	28	148	177	115
Sat Jun 19 22:40:21 2021	1624135221	22	159	181	159
Sat Jun 19 22:40:20 2021	1624135220	22	160	182	159
Sat Jun 19 22:40:21 2021	1624135221	28	157	186	157
Sat Jun 19 22:40:20 2021	1624135220	29	157	186	128
Sat Jun 19 22:40:21 2021	1624135221	26	163	189	162
Sat Jun 19 22:40:18 2021	1624135218	23	166	189	62
Sat Jun 19 22:40:20 2021	1624135220	22	174	197	174
Sat Jun 19 22:40:19 2021	1624135219	28	172	200	119
Sat Jun 19 22:40:19 2021	1624135219	27	175	202	175
Sat Jun 19 22:40:19 2021	1624135219	29	174	204	147
Sat Jun 19 22:40:19 2021	1624135219	27	178	205	178
Sat Jun 19 22:40:19 2021	1624135219	30	175	205	174
Sat Jun 19 22:40:21 2021	1624135221	28	189	216	165
Sat Jun 19 22:40:20 2021	1624135220	27	190	217	190
Sat Jun 19 22:40:21 2021	1624135221	26	192	218	192
Sat Jun 19 22:40:21 2021	1624135221	27	191	218	191
Sat Jun 19 22:40:18 2021	1624135218	25	193	218	192
Sat Jun 19 22:40:21 2021	1624135221	30	208	238	208
Sat Jun 19 22:40:18 2021	1624135218	28	217	245	191
Sat Jun 19 22:40:18 2021	1624135218	24	223	247	166
Sat Jun 19 22:40:18 2021	1624135218	28	220	248	220
Sat Jun 19 22:40:18 2021	1624135218	26	222	248	140
Sat Jun 19 22:40:18 2021	1624135218	26	223	249	222
Sat Jun 19 22:40:19 2021	1624135219	24	226	250	226
Sat Jun 19 22:40:21 2021	1624135221	24	232	256	231
Sat Jun 19 22:40:20 2021	1624135220	29	227	256	227
Sat Jun 19 22:40:21 2021	1624135221	27	231	258	230
Sat Jun 19 22:40:18 2021	1624135218	25	235	260	234
Sat Jun 19 22:40:20 2021	1624135220	24	240	264	239
Sat Jun 19 22:40:19 2021	1624135219	31	238	269	238
Sat Jun 19 22:40:20 2021	1624135220	25	247	272	247
Sat Jun 19 22:40:18 2021	1624135218	27	252	278	252
Sat Jun 19 22:40:19 2021	1624135219	29	253	282	253
Sat Jun 19 22:40:20 2021	1624135220	27	254	282	253
Sat Jun 19 22:40:19 2021	1624135219	27	258	285	257
Sat Jun 19 22:40:20 2021	1624135220	26	262	288	261
Sat Jun 19 22:40:19 2021	1624135219	27	265	292	265
Sat Jun 19 22:40:19 2021	1624135219	26	267	293	266
Sat Jun 19 22:40:18 2021	1624135218	23	272	295	271
Sat Jun 19 22:40:18 2021	1624135218	26	282	308	281
Sat Jun 19 22:40:19 2021	1624135219	27	292	319	236
Sat Jun 19 22:40:19 2021	1624135219	24	295	319	295
Sat Jun 19 22:40:19 2021	1624135219	24	297	321	297
Sat Jun 19 22:40:19 2021	1624135219	34	291	325	263
Sat Jun 19 22:40:20 2021	1624135220	26	314	340	287
Sat Jun 19 22:40:20 2021	1624135220	27	313	340	313
Sat Jun 19 22:40:18 2021	1624135218	27	313	341	313
Sat Jun 19 22:40:20 2021	1624135220	26	329	356	329
Sat Jun 19 22:40:20 2021	1624135220	22	334	356	334
Sat Jun 19 22:40:20 2021	1624135220	27	340	367	312
Sat Jun 19 22:40:18 2021	1624135218	29	347	376	347
Sat Jun 19 22:40:19 2021	1624135219	28	349	377	349
Sat Jun 19 22:40:19 2021	1624135219	28	378	406	321
Sat Jun 19 22:40:20 2021	1624135220	25	383	408	383
