Percentage served,Time in ms
0,1184.392
1,1184.392
2,1184.392
3,1210.854
4,1210.854
5,1210.854
6,1210.854
7,1210.854
8,1235.384
9,1235.384
10,1235.384
11,1235.384
12,1235.384
13,1261.139
14,1261.139
15,1261.139
16,1261.139
17,1261.139
18,1282.771
19,1282.771
20,1282.771
21,1282.771
22,1282.771
23,4726.588
24,4726.588
25,4726.588
26,4726.588
27,4726.588
28,4750.986
29,4750.986
30,4750.986
31,4750.986
32,4750.986
33,4828.373
34,4828.373
35,4828.373
36,4828.373
37,4828.373
38,4853.440
39,4853.440
40,4853.440
41,4853.440
42,4853.440
43,4862.406
44,4862.406
45,4862.406
46,4862.406
47,4862.406
48,5595.829
49,5595.829
50,5595.829
51,5595.829
52,5595.829
53,13483.039
54,13483.039
55,13483.039
56,13483.039
57,13483.039
58,13529.378
59,13529.378
60,13529.378
61,13529.378
62,13529.378
63,13756.966
64,13756.966
65,13756.966
66,13756.966
67,13756.966
68,13807.043
69,13807.043
70,13807.043
71,13807.043
72,13807.043
73,17044.012
74,17044.012
75,17044.012
76,17044.012
77,17044.012
78,17100.618
79,17100.618
80,17100.618
81,17100.618
82,17100.618
83,17157.175
84,17157.175
85,17157.175
86,17157.175
87,17157.175
88,17319.642
89,17319.642
90,17319.642
91,17319.642
92,17319.642
93,17380.511
94,17380.511
95,17380.511
96,17380.511
97,17380.511
98,2214967068.256
99,2214967068.256
100,17380.511
