starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 16:13:20 2021	1624112000	25	27	51	27
Sat Jun 19 16:13:20 2021	1624112000	29	25	54	25
Sat Jun 19 16:13:20 2021	1624112000	25	53	79	53
Sat Jun 19 16:13:20 2021	1624112000	26	79	105	79
Sat Jun 19 16:13:20 2021	1624112000	23	105	128	105
Sat Jun 19 16:13:20 2021	1624112000	27	128	155	128
Sat Jun 19 16:13:20 2021	1624112000	24	155	180	155
Sat Jun 19 16:13:20 2021	1624112000	35	180	215	180
Sat Jun 19 16:13:20 2021	1624112000	22	215	237	215
Sat Jun 19 16:13:20 2021	1624112000	22	259	281	22
