Percentage served,Time in ms
0,44.336
1,46.987
2,47.731
3,48.319
4,48.846
5,49.195
6,49.644
7,49.845
8,50.037
9,50.349
10,50.584
11,51.150
12,51.497
13,51.687
14,51.796
15,51.924
16,52.016
17,52.104
18,52.279
19,52.429
20,52.522
21,52.687
22,52.863
23,52.959
24,53.164
25,53.306
26,53.505
27,53.622
28,53.702
29,53.837
30,53.978
31,54.083
32,54.200
33,54.381
34,54.531
35,54.725
36,54.927
37,55.046
38,55.163
39,55.258
40,55.329
41,55.383
42,55.475
43,55.653
44,55.865
45,55.940
46,56.002
47,56.084
48,56.174
49,56.329
50,56.496
51,56.576
52,56.693
53,56.787
54,56.913
55,56.999
56,57.085
57,57.163
58,57.330
59,57.437
60,57.567
61,57.688
62,57.873
63,57.972
64,58.030
65,58.152
66,58.362
67,58.749
68,58.886
69,59.023
70,59.137
71,59.327
72,59.455
73,59.594
74,59.771
75,59.885
76,60.001
77,60.179
78,60.320
79,60.556
80,60.801
81,60.971
82,61.070
83,61.243
84,61.425
85,61.632
86,61.747
87,61.936
88,62.146
89,62.349
90,62.548
91,62.898
92,63.205
93,63.767
94,64.159
95,64.773
96,65.332
97,66.290
98,67.089
99,68.769
100,76.973
