starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 22:37:06 2021	1624135026	35	303	338	206
Sat Jun 19 22:37:06 2021	1624135026	35	305	339	241
Sat Jun 19 22:37:06 2021	1624135026	32	309	341	309
Sat Jun 19 22:37:06 2021	1624135026	34	308	341	275
Sat Jun 19 22:37:06 2021	1624135026	32	326	358	325
Sat Jun 19 22:37:06 2021	1624135026	39	321	360	290
Sat Jun 19 22:37:06 2021	1624135026	33	329	361	329
Sat Jun 19 22:37:05 2021	1624135025	35	345	380	36
Sat Jun 19 22:37:06 2021	1624135026	32	407	439	406
Sat Jun 19 22:37:06 2021	1624135026	35	421	456	154
Sat Jun 19 22:37:06 2021	1624135026	31	426	457	189
Sat Jun 19 22:37:06 2021	1624135026	36	425	461	221
Sat Jun 19 22:37:08 2021	1624135028	30	443	473	407
Sat Jun 19 22:37:06 2021	1624135026	32	444	476	409
Sat Jun 19 22:37:06 2021	1624135026	33	446	479	377
Sat Jun 19 22:37:06 2021	1624135026	31	452	482	345
Sat Jun 19 22:37:06 2021	1624135026	34	448	483	278
Sat Jun 19 22:37:06 2021	1624135026	33	451	484	312
Sat Jun 19 22:37:08 2021	1624135028	36	473	509	437
Sat Jun 19 22:37:06 2021	1624135026	36	474	510	473
Sat Jun 19 22:37:08 2021	1624135028	41	473	513	472
Sat Jun 19 22:37:08 2021	1624135028	31	509	541	474
Sat Jun 19 22:37:08 2021	1624135028	33	582	615	546
Sat Jun 19 22:37:06 2021	1624135026	32	611	643	410
Sat Jun 19 22:37:07 2021	1624135027	30	613	643	380
Sat Jun 19 22:37:06 2021	1624135026	32	611	644	508
Sat Jun 19 22:37:06 2021	1624135026	31	615	645	476
Sat Jun 19 22:37:06 2021	1624135026	37	609	646	540
Sat Jun 19 22:37:06 2021	1624135026	34	612	646	612
Sat Jun 19 22:37:06 2021	1624135026	34	613	647	611
Sat Jun 19 22:37:06 2021	1624135026	33	613	647	443
Sat Jun 19 22:37:06 2021	1624135026	34	613	648	577
Sat Jun 19 22:37:08 2021	1624135028	32	616	648	580
Sat Jun 19 22:37:07 2021	1624135027	34	617	651	346
Sat Jun 19 22:37:08 2021	1624135028	31	648	679	612
Sat Jun 19 22:37:08 2021	1624135028	29	714	743	714
Sat Jun 19 22:37:08 2021	1624135028	36	711	747	711
Sat Jun 19 22:37:08 2021	1624135028	35	715	750	680
Sat Jun 19 22:37:08 2021	1624135028	32	744	776	743
Sat Jun 19 22:37:07 2021	1624135027	36	790	826	789
Sat Jun 19 22:37:07 2021	1624135027	32	820	852	685
Sat Jun 19 22:37:07 2021	1624135027	29	824	853	655
Sat Jun 19 22:37:07 2021	1624135027	33	821	854	787
Sat Jun 19 22:37:07 2021	1624135027	35	819	854	717
Sat Jun 19 22:37:07 2021	1624135027	35	823	858	752
Sat Jun 19 22:37:07 2021	1624135027	34	827	861	550
Sat Jun 19 22:37:07 2021	1624135027	38	824	862	584
Sat Jun 19 22:37:07 2021	1624135027	34	831	865	622
Sat Jun 19 22:37:07 2021	1624135027	34	855	890	855
Sat Jun 19 22:37:08 2021	1624135028	36	1379	1415	1379
