starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 22:37:55 2021	1624135075	26	127	153	127
Sat Jun 19 22:38:02 2021	1624135082	26	134	160	101
Sat Jun 19 22:38:01 2021	1624135081	33	129	162	129
Sat Jun 19 22:37:58 2021	1624135078	33	134	167	134
Sat Jun 19 22:37:59 2021	1624135079	35	141	176	140
Sat Jun 19 22:37:55 2021	1624135075	27	157	185	35
Sat Jun 19 22:37:55 2021	1624135075	30	156	187	155
Sat Jun 19 22:37:59 2021	1624135079	29	158	187	157
Sat Jun 19 22:38:02 2021	1624135082	34	198	232	197
Sat Jun 19 22:37:56 2021	1624135076	30	203	232	202
Sat Jun 19 22:37:58 2021	1624135078	29	208	237	180
Sat Jun 19 22:37:59 2021	1624135079	31	209	240	175
Sat Jun 19 22:37:58 2021	1624135078	34	207	242	146
Sat Jun 19 22:37:58 2021	1624135078	33	209	242	209
Sat Jun 19 22:37:58 2021	1624135078	31	220	251	220
Sat Jun 19 22:37:59 2021	1624135079	35	222	257	122
Sat Jun 19 22:37:59 2021	1624135079	33	225	258	157
Sat Jun 19 22:37:55 2021	1624135075	31	233	264	233
Sat Jun 19 22:37:55 2021	1624135075	31	234	265	172
Sat Jun 19 22:37:55 2021	1624135075	31	237	268	237
Sat Jun 19 22:37:55 2021	1624135075	34	235	269	203
Sat Jun 19 22:37:59 2021	1624135079	35	234	269	171
Sat Jun 19 22:38:02 2021	1624135082	33	238	271	167
Sat Jun 19 22:37:58 2021	1624135078	37	235	272	235
Sat Jun 19 22:37:59 2021	1624135079	32	253	285	220
Sat Jun 19 22:37:59 2021	1624135079	33	252	285	252
Sat Jun 19 22:37:55 2021	1624135075	35	251	286	154
Sat Jun 19 22:38:02 2021	1624135082	32	271	303	200
Sat Jun 19 22:37:56 2021	1624135076	36	274	310	200
Sat Jun 19 22:38:01 2021	1624135081	30	282	312	282
Sat Jun 19 22:37:55 2021	1624135075	32	281	313	221
Sat Jun 19 22:37:55 2021	1624135075	35	283	318	252
Sat Jun 19 22:37:56 2021	1624135076	33	297	330	297
Sat Jun 19 22:37:59 2021	1624135079	33	302	335	240
Sat Jun 19 22:37:56 2021	1624135076	31	307	337	266
Sat Jun 19 22:38:02 2021	1624135082	32	306	338	306
Sat Jun 19 22:38:02 2021	1624135082	40	298	339	266
Sat Jun 19 22:37:59 2021	1624135079	34	305	339	273
Sat Jun 19 22:38:03 2021	1624135083	39	317	356	317
Sat Jun 19 22:37:58 2021	1624135078	33	331	363	330
Sat Jun 19 22:38:01 2021	1624135081	32	332	364	331
Sat Jun 19 22:37:57 2021	1624135077	33	340	373	338
Sat Jun 19 22:38:01 2021	1624135081	34	339	374	339
Sat Jun 19 22:38:01 2021	1624135081	35	339	375	339
Sat Jun 19 22:37:56 2021	1624135076	32	347	379	281
Sat Jun 19 22:37:56 2021	1624135076	37	347	384	244
Sat Jun 19 22:37:56 2021	1624135076	41	345	386	314
Sat Jun 19 22:37:56 2021	1624135076	32	355	387	355
Sat Jun 19 22:38:02 2021	1624135082	32	360	392	359
Sat Jun 19 22:38:00 2021	1624135080	29	369	398	369
Sat Jun 19 22:38:01 2021	1624135081	30	370	400	338
Sat Jun 19 22:37:58 2021	1624135078	33	369	402	340
Sat Jun 19 22:38:01 2021	1624135081	35	368	403	368
Sat Jun 19 22:37:58 2021	1624135078	34	369	403	306
Sat Jun 19 22:37:58 2021	1624135078	35	373	408	373
Sat Jun 19 22:38:00 2021	1624135080	31	380	411	338
Sat Jun 19 22:38:01 2021	1624135081	38	384	422	289
Sat Jun 19 22:37:55 2021	1624135075	35	389	424	388
Sat Jun 19 22:38:02 2021	1624135082	34	395	430	394
