Percentage served,Time in ms
0,183.066
1,213.001
2,213.002
3,213.733
4,221.031
5,223.589
6,1115.551
7,1170.943
8,1190.807
9,1225.219
10,1227.081
11,1303.544
12,1340.538
13,1354.881
14,1357.942
15,1369.877
16,1474.018
17,1540.035
18,1550.537
19,1576.712
20,1581.401
21,1731.447
22,1877.727
23,1878.804
24,1885.171
25,1968.501
26,1972.094
27,1975.178
28,1977.368
29,1980.090
30,2025.562
31,2102.491
32,2141.394
33,2141.877
34,2150.740
35,2181.259
36,3942.004
37,3944.328
38,3945.069
39,3945.523
40,3946.290
41,5046.945
42,5048.102
43,5083.697
44,5160.320
45,5169.510
46,6914.249
47,7133.774
48,7144.323
49,7145.323
50,7145.325
51,7149.666
52,7297.907
53,7432.965
54,7645.375
55,7684.643
56,7685.846
57,7685.890
58,7723.237
59,8846.829
60,8883.488
61,8883.622
62,8886.072
63,8920.871
64,11606.607
65,11614.361
66,11618.176
67,11619.384
68,11623.172
69,14524.087
70,14524.687
71,14527.047
72,14537.089
73,15317.751
74,15355.090
75,15364.780
76,15368.773
77,15399.701
78,16377.879
79,16419.481
80,16873.166
81,16905.120
82,16911.403
83,16924.165
84,16948.243
85,17098.731
86,17205.936
87,17357.065
88,17360.761
89,17361.894
90,17577.227
91,17656.003
92,17656.053
93,17692.234
94,17723.903
95,24002.485
96,24176.334
97,24180.200
98,24181.157
99,24186.388
100,24186.388
