Host n c meanctime meandtime
AWS 100 10 29 414
AWS 10 10 28 207
AWS 20 10 29 294
AWS 50 10 29 376
AWS 75 10 29 389
Azure 100 10 36 669
Azure 10 10 35 363
Azure 20 10 35 384
Azure 50 10 36 598
Azure 75 10 36 638
GCP 100 10 29 666
GCP 10 10 28 262
GCP 20 10 29 325
GCP 50 10 29 573
GCP 75 10 29 726
RPI 100 10 1 1649
RPI 10 10 1 421
RPI 20 10 0 374
RPI 50 10 0 1535
