Host n c meanctime meandtime
AWS 100 5 50 266
AWS 10 5 29 184
AWS 20 5 56 398
AWS 50 5 29 201
AWS 75 5 50 287
Azure 100 5 36 400
Azure 10 5 35 469
Azure 20 5 35 270
Azure 50 5 36 317
Azure 75 5 57 454
GCP 100 5 46 421
GCP 10 5 28 273
GCP 20 5 29 255
GCP 50 5 29 368
GCP 75 5 57 440
RPI 100 5 11 1009
RPI 10 5 0 390
RPI 20 5 0 1190
RPI 50 5 21 1112
RPI 75 5 1 819
