Host n c meanctime meandtime
AWS 1000 20 28 10983
AWS 100 20 28 489
AWS 200 20 28 509
AWS 500 20 27 517
Azure 1000 20 33 619
Azure 100 20 33 563
Azure 200 20 33 595
Azure 500 20 35 719
GCP 1000 20 27 512
GCP 100 20 27 471
GCP 200 20 27 494
GCP 500 20 27 512
RPI 1000 20 1 736
RPI 100 20 0 2623
RPI 200 20 1 491
RPI 500 20 1 698
