Host n c meanctime meandtime
AWS 1000 10 28 343
AWS 100 10 27 236
AWS 10 10 26 131
AWS 200 10 28 244
AWS 500 10 27 246
Azure 1000 10 33 386
Azure 100 10 33 282
Azure 10 10 31 152
Azure 200 10 33 292
Azure 500 10 33 294
GCP 1000 10 27 247
GCP 100 10 27 235
GCP 10 10 26 154
GCP 200 10 30 267
GCP 500 10 27 243
RPI 1000 10 1 328
RPI 100 10 1 673
RPI 10 10 1 175
RPI 200 10 1 247
RPI 500 10 1 271
