Host n c meanctime meandtime
AWS 1000 50 28 3548
AWS 100 50 29 1044
AWS 200 50 28 1196
AWS 500 50 28 1307
Azure 1000 50 33 1581
Azure 100 50 32 1186
Azure 200 50 33 1425
Azure 500 50 33 1549
GCP 1000 50 28 1350
GCP 100 50 27 1002
GCP 200 50 27 1185
GCP 500 50 29 1378
RPI 1000 50 1 2340
RPI 100 50 0 12141
RPI 200 50 1 1134
RPI 500 50 1 3538
