Host n c meanctime meandtime
AWS 1000 1 27 34
AWS 100 1 26 31
AWS 10 1 26 32
AWS 200 1 26 32
AWS 500 1 27 32
Azure 1000 1 32 42
Azure 100 1 32 40
Azure 10 1 32 40
Azure 200 1 32 39
Azure 500 1 32 39
GCP 1000 1 26 30
GCP 100 1 26 32
GCP 10 1 27 207
GCP 200 1 26 31
GCP 500 1 26 31
RPI 1000 1 1 29
RPI 100 1 1 28
RPI 10 1 2 34
RPI 200 1 1 28
RPI 500 1 1 28
