starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:04:53 2021	1624107893	26	34	60	33
Sat Jun 19 15:05:11 2021	1624107911	25	35	60	34
Sat Jun 19 15:05:12 2021	1624107912	26	34	60	33
Sat Jun 19 15:05:24 2021	1624107924	26	35	60	34
Sat Jun 19 15:05:16 2021	1624107916	29	31	60	31
Sat Jun 19 15:04:44 2021	1624107884	26	35	61	34
Sat Jun 19 15:04:24 2021	1624107864	26	34	61	34
Sat Jun 19 15:05:14 2021	1624107914	27	33	61	32
Sat Jun 19 15:05:05 2021	1624107905	26	35	61	34
Sat Jun 19 15:04:31 2021	1624107871	25	36	61	35
Sat Jun 19 15:04:36 2021	1624107876	25	36	61	35
Sat Jun 19 15:05:33 2021	1624107933	25	36	61	35
Sat Jun 19 15:05:29 2021	1624107929	25	36	61	36
Sat Jun 19 15:05:33 2021	1624107933	26	35	61	34
Sat Jun 19 15:04:31 2021	1624107871	28	33	61	32
Sat Jun 19 15:05:18 2021	1624107918	28	34	61	33
Sat Jun 19 15:05:09 2021	1624107909	28	34	61	33
Sat Jun 19 15:04:37 2021	1624107877	28	33	61	32
Sat Jun 19 15:05:27 2021	1624107927	28	33	61	33
Sat Jun 19 15:04:23 2021	1624107863	27	35	61	34
Sat Jun 19 15:05:08 2021	1624107908	26	35	62	34
Sat Jun 19 15:04:44 2021	1624107884	25	36	62	35
Sat Jun 19 15:05:01 2021	1624107901	28	34	62	33
Sat Jun 19 15:04:35 2021	1624107875	28	34	62	34
Sat Jun 19 15:04:48 2021	1624107888	28	33	62	33
Sat Jun 19 15:05:10 2021	1624107910	27	35	62	33
Sat Jun 19 15:04:53 2021	1624107893	27	35	62	34
Sat Jun 19 15:05:08 2021	1624107908	27	35	62	35
Sat Jun 19 15:04:56 2021	1624107896	25	36	62	36
Sat Jun 19 15:05:10 2021	1624107910	26	36	62	34
Sat Jun 19 15:04:48 2021	1624107888	26	36	62	36
Sat Jun 19 15:04:23 2021	1624107863	30	32	62	32
Sat Jun 19 15:04:38 2021	1624107878	29	33	62	33
Sat Jun 19 15:05:06 2021	1624107906	28	34	62	33
Sat Jun 19 15:04:53 2021	1624107893	27	35	62	35
Sat Jun 19 15:05:00 2021	1624107900	30	32	62	31
Sat Jun 19 15:04:26 2021	1624107866	27	35	62	35
Sat Jun 19 15:04:38 2021	1624107878	29	33	62	33
Sat Jun 19 15:05:08 2021	1624107908	30	33	62	33
Sat Jun 19 15:04:52 2021	1624107892	26	37	62	36
Sat Jun 19 15:04:59 2021	1624107899	28	34	62	34
Sat Jun 19 15:04:54 2021	1624107894	28	34	63	34
Sat Jun 19 15:05:23 2021	1624107923	27	36	63	35
Sat Jun 19 15:04:51 2021	1624107891	28	35	63	34
Sat Jun 19 15:04:53 2021	1624107893	28	35	63	34
Sat Jun 19 15:04:29 2021	1624107869	27	35	63	34
Sat Jun 19 15:05:12 2021	1624107912	27	35	63	34
Sat Jun 19 15:04:53 2021	1624107893	27	35	63	35
Sat Jun 19 15:04:38 2021	1624107878	28	35	63	34
Sat Jun 19 15:05:18 2021	1624107918	28	34	63	33
Sat Jun 19 15:04:45 2021	1624107885	28	35	63	34
Sat Jun 19 15:04:24 2021	1624107864	25	38	63	37
Sat Jun 19 15:05:06 2021	1624107906	27	36	63	35
Sat Jun 19 15:05:16 2021	1624107916	30	33	63	33
Sat Jun 19 15:05:12 2021	1624107912	26	37	63	36
Sat Jun 19 15:05:17 2021	1624107917	28	35	63	35
Sat Jun 19 15:04:55 2021	1624107895	28	35	63	34
Sat Jun 19 15:04:44 2021	1624107884	30	33	63	32
Sat Jun 19 15:05:28 2021	1624107928	28	35	63	34
Sat Jun 19 15:04:54 2021	1624107894	28	35	63	35
Sat Jun 19 15:04:58 2021	1624107898	28	36	63	35
Sat Jun 19 15:04:25 2021	1624107865	28	35	63	34
Sat Jun 19 15:04:54 2021	1624107894	27	36	63	35
Sat Jun 19 15:04:52 2021	1624107892	29	34	63	32
Sat Jun 19 15:04:42 2021	1624107882	30	33	63	32
Sat Jun 19 15:05:33 2021	1624107933	30	34	63	33
Sat Jun 19 15:04:22 2021	1624107862	29	34	63	33
Sat Jun 19 15:05:05 2021	1624107905	29	35	63	34
Sat Jun 19 15:04:30 2021	1624107870	28	35	63	34
Sat Jun 19 15:04:29 2021	1624107869	28	36	63	35
Sat Jun 19 15:04:27 2021	1624107867	28	36	64	35
Sat Jun 19 15:04:54 2021	1624107894	31	33	64	32
Sat Jun 19 15:04:42 2021	1624107882	29	35	64	35
Sat Jun 19 15:04:42 2021	1624107882	29	35	64	34
