Percentage served,Time in ms
0,77.434
1,369.982
2,701.725
3,942.826
4,947.328
5,950.227
6,951.456
7,953.746
8,955.693
9,957.593
10,961.521
11,963.301
12,964.364
13,965.663
14,967.740
15,968.729
16,969.504
17,971.071
18,971.645
19,972.213
20,972.894
21,973.784
22,974.576
23,975.075
24,975.450
25,975.731
26,976.129
27,976.550
28,977.096
29,977.657
30,978.045
31,978.459
32,979.201
33,979.547
34,979.868
35,980.276
36,980.564
37,981.026
38,981.548
39,981.952
40,982.425
41,982.768
42,983.110
43,983.557
44,984.287
45,984.877
46,985.278
47,985.643
48,986.062
49,986.484
50,986.909
51,987.556
52,987.890
53,988.411
54,988.921
55,989.427
56,989.751
57,990.007
58,990.302
59,990.561
60,990.899
61,991.217
62,991.470
63,991.842
64,992.111
65,992.316
66,992.765
67,993.172
68,993.749
69,993.955
70,994.299
71,994.714
72,995.005
73,995.462
74,996.051
75,996.563
76,997.044
77,997.959
78,998.566
79,999.497
80,1000.323
81,1001.410
82,1002.686
83,1006.534
84,1008.380
85,1009.688
86,1011.293
87,1012.814
88,1015.400
89,1017.621
90,1019.572
91,1020.921
92,1022.117
93,1024.925
94,25412.525
95,28225.458
96,28241.421
97,28262.801
98,28394.971
99,28401.028
100,28408.604
