starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:03:57 2021	1624107837	33	967	1001	604
Sat Jun 19 15:03:58 2021	1624107838	38	962	1001	339
Sat Jun 19 15:04:01 2021	1624107841	32	969	1001	831
Sat Jun 19 15:03:57 2021	1624107837	35	966	1001	866
Sat Jun 19 15:04:01 2021	1624107841	31	970	1001	899
Sat Jun 19 15:03:57 2021	1624107837	35	967	1002	668
Sat Jun 19 15:03:57 2021	1624107837	32	969	1002	901
Sat Jun 19 15:04:00 2021	1624107840	34	968	1002	471
Sat Jun 19 15:03:57 2021	1624107837	33	969	1002	510
Sat Jun 19 15:03:57 2021	1624107837	33	968	1002	135
Sat Jun 19 15:03:58 2021	1624107838	32	970	1002	307
Sat Jun 19 15:04:02 2021	1624107842	35	967	1002	833
Sat Jun 19 15:04:01 2021	1624107841	35	966	1002	966
Sat Jun 19 15:03:57 2021	1624107837	32	970	1002	637
Sat Jun 19 15:04:01 2021	1624107841	31	971	1002	229
Sat Jun 19 15:04:02 2021	1624107842	33	969	1002	666
Sat Jun 19 15:04:00 2021	1624107840	34	968	1003	505
Sat Jun 19 15:03:57 2021	1624107837	33	970	1003	934
Sat Jun 19 15:03:57 2021	1624107837	32	971	1003	37
Sat Jun 19 15:04:00 2021	1624107840	35	968	1003	601
Sat Jun 19 15:03:57 2021	1624107837	31	972	1003	69
Sat Jun 19 15:04:01 2021	1624107841	30	974	1003	299
Sat Jun 19 15:04:02 2021	1624107842	31	972	1003	972
Sat Jun 19 15:04:00 2021	1624107840	31	973	1003	303
Sat Jun 19 15:04:00 2021	1624107840	29	975	1004	404
Sat Jun 19 15:03:57 2021	1624107837	33	971	1004	543
Sat Jun 19 15:04:00 2021	1624107840	35	969	1004	268
Sat Jun 19 15:03:57 2021	1624107837	36	968	1004	967
Sat Jun 19 15:04:01 2021	1624107841	31	973	1004	329
Sat Jun 19 15:04:02 2021	1624107842	31	973	1004	97
Sat Jun 19 15:04:02 2021	1624107842	33	971	1004	64
Sat Jun 19 15:04:02 2021	1624107842	31	974	1004	770
Sat Jun 19 15:03:57 2021	1624107837	35	969	1004	200
Sat Jun 19 15:04:01 2021	1624107841	34	970	1004	360
Sat Jun 19 15:04:02 2021	1624107842	33	972	1004	738
Sat Jun 19 15:04:00 2021	1624107840	35	970	1005	168
Sat Jun 19 15:04:01 2021	1624107841	39	966	1005	260
Sat Jun 19 15:04:00 2021	1624107840	32	973	1005	637
Sat Jun 19 15:04:01 2021	1624107841	35	970	1005	864
Sat Jun 19 15:04:00 2021	1624107840	36	969	1006	368
Sat Jun 19 15:04:00 2021	1624107840	35	970	1006	433
Sat Jun 19 15:04:01 2021	1624107841	31	975	1006	198
Sat Jun 19 15:04:01 2021	1624107841	35	972	1007	668
Sat Jun 19 15:04:02 2021	1624107842	37	969	1007	868
Sat Jun 19 15:04:01 2021	1624107841	32	976	1008	166
Sat Jun 19 15:04:02 2021	1624107842	38	970	1008	700
Sat Jun 19 15:04:01 2021	1624107841	30	978	1008	738
Sat Jun 19 15:04:02 2021	1624107842	33	975	1008	939
Sat Jun 19 15:04:01 2021	1624107841	38	970	1008	394
Sat Jun 19 15:04:02 2021	1624107842	33	975	1008	906
Sat Jun 19 15:04:01 2021	1624107841	38	970	1008	630
Sat Jun 19 15:04:01 2021	1624107841	38	971	1009	128
Sat Jun 19 15:04:01 2021	1624107841	34	977	1011	704
Sat Jun 19 15:04:01 2021	1624107841	33	978	1011	433
Sat Jun 19 15:04:01 2021	1624107841	36	978	1014	466
