starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 17:24:13 2021	1624116253	28	114	142	113
Sat Jun 19 17:24:13 2021	1624116253	27	145	172	144
Sat Jun 19 17:24:13 2021	1624116253	32	289	321	221
Sat Jun 19 17:24:13 2021	1624116253	33	289	322	289
Sat Jun 19 17:24:13 2021	1624116253	35	287	322	186
Sat Jun 19 17:24:13 2021	1624116253	36	288	324	253
Sat Jun 19 17:24:13 2021	1624116253	31	446	476	317
Sat Jun 19 17:24:36 2021	1624116276	32	2717	2749	2716
Sat Jun 19 17:24:36 2021	1624116276	28	2759	2787	2759
Sat Jun 19 17:24:36 2021	1624116276	34	2818	2852	2784
Sat Jun 19 17:24:36 2021	1624116276	35	2852	2887	2818
Sat Jun 19 17:24:36 2021	1624116276	35	2853	2889	2853
Sat Jun 19 17:24:38 2021	1624116278	34	4117	4151	4117
Sat Jun 19 17:24:38 2021	1624116278	35	4150	4185	4150
Sat Jun 19 17:24:38 2021	1624116278	34	4194	4229	4193
Sat Jun 19 17:24:13 2021	1624116253	32	22160	22192	0
Sat Jun 19 17:24:13 2021	1624116253	32	22260	22292	0
Sat Jun 19 17:24:13 2021	1624116253	35	22289	22323	0
Sat Jun 19 17:24:13 2021	1624116253	35	22288	22324	0
Sat Jun 19 17:24:13 2021	1624116253	33	22291	22324	0
