starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 17:22:59 2021	1624116179	31	140	172	140
Sat Jun 19 17:22:59 2021	1624116179	39	136	175	100
Sat Jun 19 17:22:59 2021	1624116179	36	139	175	139
Sat Jun 19 17:22:59 2021	1624116179	33	156	189	155
Sat Jun 19 17:22:59 2021	1624116179	26	171	197	32
Sat Jun 19 17:22:59 2021	1624116179	32	231	263	231
Sat Jun 19 17:23:00 2021	1624116180	42	23165	23207	0
Sat Jun 19 17:22:59 2021	1624116179	32	23257	23289	0
Sat Jun 19 17:22:59 2021	1624116179	35	23292	23328	0
Sat Jun 19 17:22:59 2021	1624116179	34	23329	23363	0
