starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 17:29:33 2021	1624116573	33	1110	1142	1109
Sat Jun 19 17:29:32 2021	1624116572	27	1350	1377	1056
Sat Jun 19 17:29:33 2021	1624116573	28	1567	1595	1566
Sat Jun 19 17:29:33 2021	1624116573	33	1668	1702	1536
Sat Jun 19 17:29:33 2021	1624116573	31	1672	1703	1472
Sat Jun 19 17:29:33 2021	1624116573	33	1670	1704	1503
Sat Jun 19 17:29:33 2021	1624116573	36	1669	1705	1570
Sat Jun 19 17:29:33 2021	1624116573	40	1667	1707	1433
Sat Jun 19 17:29:33 2021	1624116573	34	1698	1732	1634
Sat Jun 19 17:29:33 2021	1624116573	32	1701	1733	1668
Sat Jun 19 17:29:33 2021	1624116573	33	1700	1733	1700
Sat Jun 19 17:30:14 2021	1624116614	34	8696	8730	8460
Sat Jun 19 17:29:54 2021	1624116594	34	13828	13862	13828
Sat Jun 19 17:29:54 2021	1624116594	36	14069	14106	13834
Sat Jun 19 17:29:54 2021	1624116594	29	14109	14138	14007
Sat Jun 19 17:29:54 2021	1624116594	35	14104	14139	14037
Sat Jun 19 17:29:54 2021	1624116594	30	14109	14139	13977
Sat Jun 19 17:29:54 2021	1624116594	34	14106	14140	13903
Sat Jun 19 17:29:54 2021	1624116594	39	14105	14144	14071
Sat Jun 19 17:29:54 2021	1624116594	40	14105	14145	13937
Sat Jun 19 17:29:54 2021	1624116594	30	14123	14153	14123
Sat Jun 19 17:30:08 2021	1624116608	30	14506	14536	14505
Sat Jun 19 17:30:08 2021	1624116608	42	14573	14615	14573
Sat Jun 19 17:30:08 2021	1624116608	35	14607	14642	14474
Sat Jun 19 17:30:08 2021	1624116608	34	14609	14644	14407
Sat Jun 19 17:30:08 2021	1624116608	33	14611	14644	14441
Sat Jun 19 17:30:08 2021	1624116608	36	14611	14647	14509
Sat Jun 19 17:30:08 2021	1624116608	33	14643	14676	14643
Sat Jun 19 17:30:08 2021	1624116608	33	14644	14677	14610
Sat Jun 19 17:30:08 2021	1624116608	34	14644	14678	14576
Sat Jun 19 17:29:35 2021	1624116575	34	19611	19645	19611
Sat Jun 19 17:29:35 2021	1624116575	32	19785	19817	19617
Sat Jun 19 17:29:35 2021	1624116575	34	19784	19818	19582
Sat Jun 19 17:29:35 2021	1624116575	32	19788	19820	19550
Sat Jun 19 17:29:34 2021	1624116574	36	19812	19848	19718
Sat Jun 19 17:29:34 2021	1624116574	30	19818	19848	19754
Sat Jun 19 17:29:34 2021	1624116574	31	19819	19851	19685
Sat Jun 19 17:29:34 2021	1624116574	33	19819	19852	19784
Sat Jun 19 17:29:34 2021	1624116574	39	19817	19856	19817
Sat Jun 19 17:29:54 2021	1624116594	44	19972	20016	0
Sat Jun 19 17:29:34 2021	1624116574	32	20327	20358	20327
Sat Jun 19 17:30:23 2021	1624116623	34	20822	20855	20822
Sat Jun 19 17:30:23 2021	1624116623	33	20852	20885	20852
Sat Jun 19 17:30:23 2021	1624116623	37	20891	20928	20890
Sat Jun 19 17:30:23 2021	1624116623	31	20928	20959	20928
Sat Jun 19 17:30:23 2021	1624116623	33	20956	20989	20956
Sat Jun 19 17:30:23 2021	1624116623	34	20990	21025	20990
Sat Jun 19 17:30:23 2021	1624116623	31	21015	21046	21015
Sat Jun 19 17:30:23 2021	1624116623	34	21028	21062	21028
Sat Jun 19 17:30:23 2021	1624116623	40	21057	21096	21056
