Host n c meanctime meandtime
AWS 10 10 25 3224
AWS 20 10 27 4844
AWS 50 10 27 8778
AWS 75 10 27 9479
Azure 100 10 35 16836
Azure 10 10 32 1166
Azure 20 10 33 8743
Azure 50 10 34 13823
Azure 75 10 35 14687
GCP 10 10 27 2596
GCP 20 10 26 8792
GCP 50 10 27 12423
RPI 10 10 0 17446
