Host n c meanctime meandtime
AWS 10 1 26 935
AWS 20 1 26 1226
AWS 50 1 26 1297
AWS 75 1 26 1131
Azure 10 1 34 46
Azure 20 1 33 2181
Azure 50 1 33 2118
GCP 10 1 26 1629
GCP 20 1 26 2174
GCP 50 1 26 2192
GCP 75 1 26 1972
RPI 10 1 1 562
