Host n c meanctime meandtime
AWS 20 15 27 4654
AWS 50 15 27 11664
AWS 75 15 27 12776
Azure 20 15 33 3927
Azure 50 15 36 19799
GCP 20 15 27 7527
GCP 50 15 27 14998
