Host n c meanctime meandtime
AWS 1000 50 30 1435
AWS 100 50 30 1100
AWS 200 50 30 1294
AWS 500 50 30 1410
Azure 1000 50 36 1733
Azure 100 50 36 1326
Azure 200 50 37 1590
Azure 500 50 37 1714
GCP 1000 50 30 1427
GCP 100 50 29 1090
GCP 200 50 30 1315
GCP 500 50 32 1488
RPI 1000 50 1 59
RPI 100 50 0 71
RPI 200 50 0 67
RPI 500 50 1 55
