Host n c meanctime meandtime
AWS 1000 10 30 271
AWS 100 10 40 351
AWS 10 10 27 127
AWS 200 10 31 272
AWS 500 10 30 268
Azure 1000 10 36 326
Azure 100 10 36 313
Azure 10 10 34 165
Azure 200 10 36 317
Azure 500 10 36 326
GCP 1000 10 31 276
GCP 100 10 29 252
GCP 10 10 30 147
GCP 200 10 30 270
GCP 500 10 32 284
RPI 1000 10 1 12
RPI 100 10 1 18
RPI 10 10 0 8
RPI 200 10 0 16
RPI 500 10 0 12
