Host n c meanctime meandtime
AWS 1000 1 28 29
AWS 100 1 29 30
AWS 10 1 29 30
AWS 200 1 29 29
AWS 500 1 28 29
Azure 1000 1 35 35
Azure 100 1 36 35
Azure 10 1 35 37
Azure 200 1 35 35
Azure 500 1 35 35
GCP 1000 1 28 29
GCP 100 1 28 29
GCP 10 1 30 32
GCP 200 1 28 29
GCP 500 1 28 29
RPI 1000 1 0 2
RPI 100 1 1 3
RPI 10 1 1 220
RPI 200 1 1 3
RPI 500 1 1 2
