Host n c meanctime meandtime
AWS 1000 30 30 861
AWS 100 30 30 743
AWS 200 30 29 797
AWS 500 30 30 849
Azure 1000 30 38 1101
Azure 100 30 36 902
Azure 200 30 41 1035
Azure 500 30 39 1092
GCP 1000 30 31 884
GCP 100 30 29 728
GCP 200 30 30 810
GCP 500 30 30 837
RPI 1000 30 0 35
RPI 100 30 0 48
RPI 200 30 0 47
RPI 500 30 1 38
