Host n c meanctime meandtime
AWS 1000 20 31 583
AWS 100 20 30 526
AWS 200 20 35 635
AWS 500 20 30 560
Azure 1000 20 36 683
Azure 100 20 36 630
Azure 200 20 36 655
Azure 500 20 36 681
GCP 1000 20 29 557
GCP 100 20 29 506
GCP 200 20 29 534
GCP 500 20 30 554
RPI 1000 20 0 25
RPI 100 20 0 30
RPI 200 20 0 32
RPI 500 20 0 24
