Host n c meanctime meandtime
AWS 10 1 29 976
AWS 20 1 28 1349
AWS 50 1 28 1444
Azure 10 1 34 1726
Azure 20 1 35 2247
Azure 50 1 35 2242
GCP 10 1 27 1529
GCP 20 1 29 2316
GCP 50 1 29 1865
RPI 10 1 1 667
RPI 20 1 1 3433
