starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 17:51:04 2021	1624117864	27	310	337	224
Sat Jun 19 17:51:04 2021	1624117864	30	336	367	282
Sat Jun 19 17:51:04 2021	1624117864	28	371	399	344
Sat Jun 19 17:51:03 2021	1624117863	23	399	422	399
Sat Jun 19 17:51:03 2021	1624117863	30	426	456	425
Sat Jun 19 17:51:01 2021	1624117861	24	2350	2375	2088
Sat Jun 19 17:51:04 2021	1624117864	27	2662	2689	2569
Sat Jun 19 17:51:04 2021	1624117864	31	2686	2717	2623
Sat Jun 19 17:51:03 2021	1624117863	26	2710	2736	2710
Sat Jun 19 17:51:04 2021	1624117864	31	2717	2748	2684
Sat Jun 19 17:51:03 2021	1624117863	35	2793	2828	2793
Sat Jun 19 17:51:06 2021	1624117866	30	8869	8899	8869
Sat Jun 19 17:51:06 2021	1624117866	34	8927	8961	8926
Sat Jun 19 17:51:06 2021	1624117866	30	9758	9788	9758
Sat Jun 19 17:51:06 2021	1624117866	33	9817	9850	9817
Sat Jun 19 17:51:04 2021	1624117864	31	11217	11249	11217
Sat Jun 19 17:51:04 2021	1624117864	27	11270	11298	11269
Sat Jun 19 17:51:04 2021	1624117864	31	12105	12137	12105
Sat Jun 19 17:51:04 2021	1624117864	25	12164	12190	12164
Sat Jun 19 17:51:04 2021	1624117864	30	12221	12251	12221
