Percentage served,Time in ms
0,57.000
1,57.000
2,57.000
3,57.000
4,57.000
5,59.021
6,59.021
7,59.021
8,59.021
9,59.021
10,59.021
11,59.021
12,59.021
13,59.021
14,59.021
15,61.998
16,61.998
17,61.998
18,61.998
19,61.998
20,61.998
21,61.998
22,61.998
23,61.998
24,61.998
25,67.000
26,67.000
27,67.000
28,67.000
29,67.000
30,67.000
31,67.000
32,67.000
33,67.000
34,67.000
35,245.716
36,245.716
37,245.716
38,245.716
39,245.716
40,245.716
41,245.716
42,245.716
43,245.716
44,245.716
45,315.043
46,315.043
47,315.043
48,315.043
49,315.043
50,315.043
51,315.043
52,315.043
53,315.043
54,315.043
55,1960.254
56,1960.254
57,1960.254
58,1960.254
59,1960.254
60,1960.254
61,1960.254
62,1960.254
63,1960.254
64,1960.254
65,2144.747
66,2144.747
67,2144.747
68,2144.747
69,2144.747
70,2144.747
71,2144.747
72,2144.747
73,2144.747
74,2144.747
75,2158.946
76,2158.946
77,2158.946
78,2158.946
79,2158.946
80,2158.946
81,2158.946
82,2158.946
83,2158.946
84,2158.946
85,2979.773
86,2979.773
87,2979.773
88,2979.773
89,2979.773
90,2979.773
91,2979.773
92,2979.773
93,2979.773
94,2979.773
95,1292938552.320
96,1292938552.320
97,1292938552.320
98,1292938552.320
99,1292938552.320
100,2979.773
