Percentage served,Time in ms
0,38.868
1,85.094
2,158.916
3,160.506
4,215.155
5,249.865
6,271.716
7,278.451
8,280.776
9,289.393
10,302.405
11,323.024
12,329.098
13,333.096
14,338.142
15,354.871
16,356.036
17,356.449
18,360.312
19,374.168
20,376.255
21,382.100
22,382.531
23,383.256
24,390.203
25,391.215
26,392.314
27,394.339
28,412.100
29,456.835
30,461.753
31,461.773
32,469.643
33,473.752
34,476.559
35,477.686
36,479.547
37,483.160
38,494.346
39,501.711
40,509.880
41,511.377
42,512.223
43,514.899
44,517.252
45,522.625
46,526.524
47,526.798
48,533.759
49,533.795
50,537.501
51,560.802
52,560.844
53,573.317
54,609.381
55,609.742
56,613.980
57,615.555
58,619.988
59,623.683
60,630.090
61,633.140
62,636.099
63,645.734
64,678.398
65,686.759
66,688.698
67,697.360
68,753.057
69,765.408
70,788.645
71,822.899
72,830.573
73,837.113
74,850.461
75,983.233
76,1070.791
77,1548.357
78,4569.567
79,4605.235
80,6809.607
81,6810.608
82,9871.469
83,10898.614
84,10901.601
85,10930.172
86,10967.442
87,10987.541
88,11085.025
89,11085.200
90,11230.570
91,11234.675
92,11236.855
93,11237.559
94,11237.590
95,11238.565
96,11255.646
97,11371.986
98,11373.978
99,11566.179
100,11566.179
