Percentage served,Time in ms
0,36.354
1,777.738
2,810.021
3,829.828
4,854.743
5,876.144
6,899.814
7,918.854
8,931.148
9,947.743
10,961.947
11,976.001
12,987.587
13,1003.065
14,1019.681
15,1027.276
16,1034.607
17,1048.638
18,1066.199
19,1078.075
20,1087.248
21,1095.845
22,1105.076
23,1109.995
24,1119.989
25,1124.019
26,1129.644
27,1133.733
28,1136.522
29,1142.203
30,1148.502
31,1151.992
32,1158.896
33,1163.983
34,1172.364
35,1181.918
36,1190.240
37,1198.751
38,1203.836
39,1209.553
40,1215.606
41,1222.234
42,1226.289
43,1236.165
44,1242.748
45,1251.984
46,1266.292
47,1273.253
48,1280.364
49,1287.673
50,1297.682
51,1308.318
52,1312.915
53,1328.264
54,1338.457
55,1343.311
56,1355.247
57,1365.900
58,1374.570
59,1384.327
60,1389.467
61,1398.460
62,1410.790
63,1428.012
64,1435.348
65,1463.464
66,1477.081
67,1493.955
68,1513.029
69,1526.368
70,1544.657
71,1566.454
72,1581.046
73,1604.593
74,1631.312
75,1660.737
76,1698.521
77,1737.936
78,1765.908
79,1804.331
80,1834.111
81,1930.712
82,1988.250
83,2107.173
84,2430.502
85,2782.952
86,2908.230
87,3006.970
88,3018.339
89,3068.345
90,3140.602
91,3678.995
92,3874.532
93,3988.393
94,4043.350
95,11927.388
96,17964.543
97,18235.778
98,18538.563
99,18877.538
100,18948.367
