starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 22:38:37 2021	1624135117	29	206	235	205
Sat Jun 19 22:38:37 2021	1624135117	28	243	272	242
Sat Jun 19 22:38:35 2021	1624135115	29	267	296	207
Sat Jun 19 22:38:35 2021	1624135115	27	270	297	236
Sat Jun 19 22:38:35 2021	1624135115	24	277	301	277
Sat Jun 19 22:38:35 2021	1624135115	39	263	302	263
Sat Jun 19 22:38:35 2021	1624135115	35	271	306	271
Sat Jun 19 22:38:36 2021	1624135116	31	320	351	320
Sat Jun 19 22:38:36 2021	1624135116	30	351	380	350
Sat Jun 19 22:38:36 2021	1624135116	29	378	407	377
Sat Jun 19 22:38:36 2021	1624135116	30	377	407	346
Sat Jun 19 22:38:36 2021	1624135116	32	378	410	376
Sat Jun 19 22:38:36 2021	1624135116	33	418	451	417
Sat Jun 19 22:38:36 2021	1624135116	26	468	495	438
Sat Jun 19 22:38:35 2021	1624135115	30	469	499	469
Sat Jun 19 22:38:36 2021	1624135116	26	498	524	469
Sat Jun 19 22:38:36 2021	1624135116	32	497	530	497
Sat Jun 19 22:38:36 2021	1624135116	29	525	555	525
Sat Jun 19 22:38:36 2021	1624135116	27	557	583	557
Sat Jun 19 22:38:34 2021	1624135114	550	921	1472	794
