Percentage served,Time in ms
0,107.802
1,107.802
2,107.802
3,107.802
4,107.802
5,155.205
6,155.205
7,155.205
8,155.205
9,155.205
10,155.205
11,155.205
12,155.205
13,155.205
14,155.205
15,172.041
16,172.041
17,172.041
18,172.041
19,172.041
20,172.041
21,172.041
22,172.041
23,172.041
24,172.041
25,211.367
26,211.367
27,211.367
28,211.367
29,211.367
30,211.367
31,211.367
32,211.367
33,211.367
34,211.367
35,225.125
36,225.125
37,225.125
38,225.125
39,225.125
40,225.125
41,225.125
42,225.125
43,225.125
44,225.125
45,265.040
46,265.040
47,265.040
48,265.040
49,265.040
50,265.040
51,265.040
52,265.040
53,265.040
54,265.040
55,267.557
56,267.557
57,267.557
58,267.557
59,267.557
60,267.557
61,267.557
62,267.557
63,267.557
64,267.557
65,288.636
66,288.636
67,288.636
68,288.636
69,288.636
70,288.636
71,288.636
72,288.636
73,288.636
74,288.636
75,400.821
76,400.821
77,400.821
78,400.821
79,400.821
80,400.821
81,400.821
82,400.821
83,400.821
84,400.821
85,803.606
86,803.606
87,803.606
88,803.606
89,803.606
90,803.606
91,803.606
92,803.606
93,803.606
94,803.606
95,1377760262.592
96,1377760262.592
97,1377760262.592
98,1377760262.592
99,1377760262.592
100,803.606
