Host n c meanctime meandtime
AWS 100 15 27 565
AWS 20 15 26 314
AWS 50 15 27 464
Azure 100 15 34 974
Azure 20 15 33 591
Azure 50 15 34 791
Azure 75 15 34 900
GCP 100 15 27 939
GCP 20 15 26 394
GCP 50 15 27 725
GCP 75 15 56 1059
RPI 100 15 1 2789
RPI 20 15 0 1000
RPI 50 15 0 2315
RPI 75 15 0 2275
