Host n c meanctime meandtime
AWS 100 5 27 196
AWS 10 5 131 413
AWS 20 5 26 160
AWS 50 5 69 297
AWS 75 5 26 208
Azure 100 5 33 349
Azure 10 5 32 344
Azure 20 5 33 416
Azure 50 5 33 335
Azure 75 5 33 332
GCP 100 5 48 415
GCP 10 5 27 289
GCP 20 5 26 304
GCP 50 5 59 452
GCP 75 5 26 329
RPI 100 5 1 1056
RPI 10 5 0 1207
RPI 20 5 0 1151
RPI 50 5 22 1110
RPI 75 5 1 981
