Host n c meanctime meandtime
AWS 100 10 27 400
AWS 10 10 27 190
AWS 20 10 26 252
AWS 50 10 29 360
AWS 75 10 27 379
Azure 100 10 33 705
Azure 10 10 248 449
Azure 20 10 37 410
Azure 50 10 34 586
Azure 75 10 47 651
GCP 100 10 27 651
GCP 10 10 26 212
GCP 20 10 26 364
GCP 50 10 27 657
GCP 75 10 40 732
RPI 100 10 1 2272
RPI 10 10 0 42
RPI 20 10 0 440
RPI 75 10 1 1744
