starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 22:26:07 2021	1624134367	0	7	7	5
Sat Jun 19 22:26:07 2021	1624134367	1	45	46	45
Sat Jun 19 22:26:07 2021	1624134367	0	50	50	50
Sat Jun 19 22:26:10 2021	1624134370	1	102	103	102
Sat Jun 19 22:26:10 2021	1624134370	1	154	155	154
Sat Jun 19 22:26:10 2021	1624134370	0	171	171	171
Sat Jun 19 22:26:10 2021	1624134370	0	211	211	211
Sat Jun 19 22:26:07 2021	1624134367	0	469	469	469
Sat Jun 19 22:26:07 2021	1624134367	1	469	470	469
Sat Jun 19 22:26:12 2021	1624134372	0	780	780	780
Sat Jun 19 22:26:10 2021	1624134370	1	1658	1659	1658
Sat Jun 19 22:26:10 2021	1624134370	1	1701	1702	1700
Sat Jun 19 22:26:10 2021	1624134370	1	1712	1713	1712
Sat Jun 19 22:26:10 2021	1624134370	0	1761	1761	1761
Sat Jun 19 22:26:08 2021	1624134368	0	2165	2165	2165
Sat Jun 19 22:26:08 2021	1624134368	1	2274	2275	2274
Sat Jun 19 22:26:10 2021	1624134370	0	2288	2288	2288
Sat Jun 19 22:26:07 2021	1624134367	0	2526	2526	2526
Sat Jun 19 22:26:07 2021	1624134367	1	2584	2585	2584
Sat Jun 19 22:26:07 2021	1624134367	0	2679	2679	2679
