starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 22:27:52 2021	1624134472	0	299	299	298
Sat Jun 19 22:27:52 2021	1624134472	0	319	319	318
Sat Jun 19 22:27:52 2021	1624134472	0	336	336	336
Sat Jun 19 22:27:52 2021	1624134472	0	341	341	341
Sat Jun 19 22:27:53 2021	1624134473	3	343	346	340
Sat Jun 19 22:27:52 2021	1624134472	1	460	461	458
Sat Jun 19 22:27:52 2021	1624134472	1	465	466	465
Sat Jun 19 22:27:52 2021	1624134472	0	485	485	485
Sat Jun 19 22:27:52 2021	1624134472	9	1037	1046	1037
Sat Jun 19 22:27:52 2021	1624134472	1	1058	1059	1058
Sat Jun 19 22:27:46 2021	1624134466	1	1076	1076	1075
Sat Jun 19 22:27:52 2021	1624134472	0	1076	1076	1076
Sat Jun 19 22:27:46 2021	1624134466	0	1076	1076	1075
Sat Jun 19 22:27:46 2021	1624134466	0	1076	1076	1074
Sat Jun 19 22:27:46 2021	1624134466	0	1076	1076	1074
Sat Jun 19 22:27:46 2021	1624134466	0	1077	1077	1077
Sat Jun 19 22:27:46 2021	1624134466	0	1077	1077	1077
Sat Jun 19 22:27:46 2021	1624134466	1	1076	1077	1076
Sat Jun 19 22:27:46 2021	1624134466	0	1077	1077	1077
Sat Jun 19 22:27:46 2021	1624134466	1	1076	1077	1075
Sat Jun 19 22:27:46 2021	1624134466	0	1077	1077	1076
Sat Jun 19 22:27:46 2021	1624134466	0	1079	1079	1077
Sat Jun 19 22:27:46 2021	1624134466	1	1079	1080	1077
Sat Jun 19 22:27:46 2021	1624134466	0	1087	1087	1087
Sat Jun 19 22:27:46 2021	1624134466	0	1088	1088	1088
Sat Jun 19 22:27:46 2021	1624134466	0	1089	1089	1089
Sat Jun 19 22:27:50 2021	1624134470	1	1910	1911	1909
Sat Jun 19 22:27:50 2021	1624134470	0	1933	1933	1930
Sat Jun 19 22:27:50 2021	1624134470	1	1936	1937	1936
Sat Jun 19 22:27:50 2021	1624134470	0	2222	2222	2221
Sat Jun 19 22:27:50 2021	1624134470	0	2243	2243	2241
Sat Jun 19 22:27:50 2021	1624134470	1	2254	2255	2254
Sat Jun 19 22:27:50 2021	1624134470	1	2364	2365	2364
Sat Jun 19 22:27:50 2021	1624134470	0	2402	2402	2402
Sat Jun 19 22:27:50 2021	1624134470	1	2413	2414	2412
Sat Jun 19 22:27:50 2021	1624134470	9	2412	2421	2412
Sat Jun 19 22:27:50 2021	1624134470	1	2434	2435	2434
Sat Jun 19 22:27:43 2021	1624134463	0	2481	2481	2476
Sat Jun 19 22:27:50 2021	1624134470	1	2482	2483	2482
Sat Jun 19 22:27:50 2021	1624134470	0	2486	2486	2486
Sat Jun 19 22:27:50 2021	1624134470	0	2501	2501	2501
Sat Jun 19 22:27:50 2021	1624134470	0	2524	2524	2524
Sat Jun 19 22:27:55 2021	1624134475	0	2791	2791	2791
Sat Jun 19 22:27:47 2021	1624134467	0	2863	2863	2863
Sat Jun 19 22:27:47 2021	1624134467	1	2871	2872	2871
Sat Jun 19 22:27:47 2021	1624134467	0	2873	2873	2873
Sat Jun 19 22:27:47 2021	1624134467	0	2873	2873	2873
Sat Jun 19 22:27:52 2021	1624134472	1	2886	2887	2886
Sat Jun 19 22:27:52 2021	1624134472	3	2904	2907	2904
Sat Jun 19 22:27:52 2021	1624134472	1	2910	2912	2910
Sat Jun 19 22:27:55 2021	1624134475	0	2914	2914	2914
Sat Jun 19 22:27:52 2021	1624134472	1	2931	2932	2931
Sat Jun 19 22:27:47 2021	1624134467	1	2950	2951	2940
Sat Jun 19 22:27:47 2021	1624134467	1	2951	2952	2951
Sat Jun 19 22:27:47 2021	1624134467	0	2952	2952	2950
Sat Jun 19 22:27:47 2021	1624134467	0	2959	2959	2949
Sat Jun 19 22:27:55 2021	1624134475	1	3023	3023	3023
Sat Jun 19 22:27:47 2021	1624134467	0	3121	3121	3120
Sat Jun 19 22:27:47 2021	1624134467	0	3130	3130	3130
Sat Jun 19 22:27:47 2021	1624134467	0	3132	3132	3131
Sat Jun 19 22:27:47 2021	1624134467	0	3133	3133	3133
Sat Jun 19 22:27:47 2021	1624134467	1	3441	3442	3441
Sat Jun 19 22:27:47 2021	1624134467	0	3443	3443	3443
Sat Jun 19 22:27:47 2021	1624134467	1	3443	3444	3443
Sat Jun 19 22:27:53 2021	1624134473	3	4641	4644	4641
Sat Jun 19 22:27:53 2021	1624134473	0	4764	4764	4760
Sat Jun 19 22:27:53 2021	1624134473	0	5175	5175	5175
Sat Jun 19 22:27:53 2021	1624134473	1	5234	5235	5234
Sat Jun 19 22:27:53 2021	1624134473	0	5358	5358	5356
Sat Jun 19 22:27:53 2021	1624134473	0	5380	5380	5380
Sat Jun 19 22:27:53 2021	1624134473	1	5464	5465	5464
Sat Jun 19 22:27:53 2021	1624134473	1	5498	5499	5497
Sat Jun 19 22:27:53 2021	1624134473	0	5612	5612	5612
Sat Jun 19 22:27:53 2021	1624134473	1	5766	5767	5766
Sat Jun 19 22:27:53 2021	1624134473	0	5912	5912	5912
