Percentage served,Time in ms
0,456.614
1,456.614
2,456.614
3,457.627
4,457.627
5,457.627
6,457.627
7,457.627
8,623.933
9,623.933
10,623.933
11,623.933
12,623.933
13,857.305
14,857.305
15,857.305
16,857.305
17,857.305
18,1454.489
19,1454.489
20,1454.489
21,1454.489
22,1454.489
23,2160.204
24,2160.204
25,2160.204
26,2160.204
27,2160.204
28,3153.081
29,3153.081
30,3153.081
31,3153.081
32,3153.081
33,3639.471
34,3639.471
35,3639.471
36,3639.471
37,3639.471
38,6693.026
39,6693.026
40,6693.026
41,6693.026
42,6693.026
43,6706.400
44,6706.400
45,6706.400
46,6706.400
47,6706.400
48,6723.423
49,6723.423
50,6723.423
51,6723.423
52,6723.423
53,8082.134
54,8082.134
55,8082.134
56,8082.134
57,8082.134
58,8314.504
59,8314.504
60,8314.504
61,8314.504
62,8314.504
63,20765.590
64,20765.590
65,20765.590
66,20765.590
67,20765.590
68,24236.425
69,24236.425
70,24236.425
71,24236.425
72,24236.425
73,29234.937
74,29234.937
75,29234.937
76,29234.937
77,29234.937
78,29236.939
79,29236.939
80,29236.939
81,29236.939
82,29236.939
83,34067.277
84,34067.277
85,34067.277
86,34067.277
87,34067.277
88,34559.676
89,34559.676
90,34559.676
91,34559.676
92,34559.676
93,34562.675
94,34562.675
95,34562.675
96,34562.675
97,34562.675
98,1733188616.928
99,1733188616.928
100,34562.675
