Percentage served,Time in ms
0,68.462
1,109.714
2,183.013
3,255.012
4,325.002
5,341.213
6,341.981
7,344.103
8,345.261
9,346.262
10,348.234
11,349.889
12,351.982
13,353.134
14,353.322
15,353.473
16,354.192
17,355.075
18,355.118
19,355.484
20,356.127
21,356.270
22,356.623
23,357.026
24,357.198
25,357.509
26,357.934
27,357.989
28,358.131
29,358.260
30,358.461
31,358.599
32,358.870
33,358.978
34,359.269
35,359.401
36,359.641
37,359.834
38,359.971
39,360.028
40,360.036
41,360.127
42,360.433
43,360.472
44,360.549
45,360.873
46,360.947
47,361.117
48,361.285
49,361.414
50,361.574
51,361.730
52,361.815
53,361.930
54,362.314
55,362.451
56,362.559
57,362.609
58,362.917
59,363.054
60,363.286
61,363.474
62,363.681
63,363.760
64,364.214
65,364.309
66,364.468
67,364.703
68,364.764
69,364.912
70,364.975
71,365.069
72,365.100
73,365.196
74,365.235
75,365.478
76,365.534
77,365.757
78,366.014
79,366.262
80,366.310
81,366.568
82,366.832
83,367.060
84,367.328
85,367.628
86,367.804
87,367.929
88,368.074
89,368.301
90,368.622
91,368.814
92,369.093
93,369.374
94,369.463
95,369.630
96,370.027
97,370.305
98,371.855
99,377.580
100,386.570
