Host n c meanctime meandtime
AWS 1000 10 29 257
AWS 100 10 27 235
AWS 10 10 28 131
AWS 200 10 28 246
AWS 500 10 28 249
Azure 1000 10 35 315
Azure 100 10 34 292
Azure 10 10 32 154
Azure 200 10 34 301
Azure 500 10 34 303
GCP 1000 10 28 251
GCP 100 10 37 323
GCP 10 10 26 123
GCP 200 10 27 243
GCP 500 10 27 243
RPI 1000 10 0 13
RPI 100 10 1 14
RPI 10 10 0 8
RPI 200 10 0 15
RPI 500 10 0 14
