Host n c meanctime meandtime
AWS 1000 30 28 803
AWS 100 30 28 684
AWS 200 30 27 742
AWS 500 30 28 780
Azure 1000 30 34 977
Azure 100 30 34 834
Azure 200 30 34 916
Azure 500 30 34 971
GCP 1000 30 28 817
GCP 100 30 27 676
GCP 200 30 27 738
GCP 500 30 33 946
RPI 1000 30 1 37
RPI 100 30 0 31
RPI 200 30 0 33
RPI 500 30 1 36
