Host n c meanctime meandtime
AWS 1000 1 26 27
AWS 100 1 26 27
AWS 10 1 24 31
AWS 200 1 30 26
AWS 500 1 26 26
Azure 1000 1 34 33
Azure 100 1 32 32
Azure 10 1 32 35
Azure 200 1 33 32
Azure 500 1 32 32
GCP 1000 1 26 27
GCP 100 1 26 26
GCP 10 1 27 32
GCP 200 1 26 26
GCP 500 1 28 26
RPI 1000 1 0 2
RPI 100 1 1 3
RPI 10 1 1 12
RPI 200 1 1 2
RPI 500 1 0 2
