Host n c meanctime meandtime
AWS 1000 20 28 525
AWS 100 20 28 478
AWS 200 20 27 499
AWS 500 20 27 516
Azure 1000 20 36 682
Azure 100 20 34 583
Azure 200 20 34 612
Azure 500 20 34 638
GCP 1000 20 29 555
GCP 100 20 27 461
GCP 200 20 27 501
GCP 500 20 27 514
RPI 1000 20 0 25
RPI 100 20 0 21
RPI 200 20 0 22
RPI 500 20 1 26
