starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:44:26 2021	1624110266	0	2	2	2
Sat Jun 19 15:44:26 2021	1624110266	0	3	3	3
Sat Jun 19 15:44:26 2021	1624110266	1	3	4	3
Sat Jun 19 15:44:27 2021	1624110267	0	4	4	4
Sat Jun 19 15:44:27 2021	1624110267	1	3	4	3
Sat Jun 19 15:44:26 2021	1624110266	0	4	4	4
Sat Jun 19 15:44:27 2021	1624110267	0	4	4	4
Sat Jun 19 15:44:26 2021	1624110266	1	4	5	4
Sat Jun 19 15:44:26 2021	1624110266	0	5	5	5
Sat Jun 19 15:44:26 2021	1624110266	0	5	5	5
Sat Jun 19 15:44:26 2021	1624110266	2	3	5	3
Sat Jun 19 15:44:27 2021	1624110267	0	5	5	5
Sat Jun 19 15:44:27 2021	1624110267	1	4	5	4
Sat Jun 19 15:44:26 2021	1624110266	0	6	6	5
Sat Jun 19 15:44:27 2021	1624110267	0	7	7	7
Sat Jun 19 15:44:26 2021	1624110266	0	9	9	2
Sat Jun 19 15:44:27 2021	1624110267	5	4	9	4
Sat Jun 19 15:44:26 2021	1624110266	2	7	9	7
Sat Jun 19 15:44:27 2021	1624110267	0	10	10	10
Sat Jun 19 15:44:26 2021	1624110266	1	9	10	5
Sat Jun 19 15:44:27 2021	1624110267	1	10	11	10
Sat Jun 19 15:44:27 2021	1624110267	0	11	11	11
Sat Jun 19 15:44:27 2021	1624110267	0	11	11	11
Sat Jun 19 15:44:27 2021	1624110267	0	11	11	10
Sat Jun 19 15:44:27 2021	1624110267	0	11	11	11
Sat Jun 19 15:44:27 2021	1624110267	0	11	11	11
Sat Jun 19 15:44:27 2021	1624110267	0	11	11	11
Sat Jun 19 15:44:26 2021	1624110266	1	10	11	10
Sat Jun 19 15:44:27 2021	1624110267	0	11	11	11
Sat Jun 19 15:44:27 2021	1624110267	0	11	11	9
Sat Jun 19 15:44:27 2021	1624110267	4	7	11	7
Sat Jun 19 15:44:26 2021	1624110266	7	5	12	5
Sat Jun 19 15:44:26 2021	1624110266	0	12	12	8
Sat Jun 19 15:44:27 2021	1624110267	1	11	12	10
Sat Jun 19 15:44:27 2021	1624110267	0	12	12	11
Sat Jun 19 15:44:26 2021	1624110266	0	12	12	12
Sat Jun 19 15:44:26 2021	1624110266	0	12	12	10
Sat Jun 19 15:44:27 2021	1624110267	1	11	12	11
Sat Jun 19 15:44:27 2021	1624110267	0	12	12	10
Sat Jun 19 15:44:27 2021	1624110267	1	11	12	11
Sat Jun 19 15:44:27 2021	1624110267	0	12	12	12
Sat Jun 19 15:44:26 2021	1624110266	2	10	12	3
Sat Jun 19 15:44:27 2021	1624110267	1	11	12	11
Sat Jun 19 15:44:27 2021	1624110267	1	11	12	11
Sat Jun 19 15:44:26 2021	1624110266	1	11	12	9
Sat Jun 19 15:44:26 2021	1624110266	0	12	12	10
Sat Jun 19 15:44:26 2021	1624110266	0	12	12	9
Sat Jun 19 15:44:26 2021	1624110266	5	8	13	8
Sat Jun 19 15:44:26 2021	1624110266	0	13	13	13
Sat Jun 19 15:44:26 2021	1624110266	0	13	13	10
