starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:56:25 2021	1624110985	32	974	1006	440
Sat Jun 19 15:56:37 2021	1624110997	34	973	1006	973
Sat Jun 19 15:56:43 2021	1624111003	31	975	1006	766
Sat Jun 19 15:56:33 2021	1624110993	31	975	1006	444
Sat Jun 19 15:56:34 2021	1624110994	35	971	1006	596
Sat Jun 19 15:56:47 2021	1624111007	37	970	1006	836
Sat Jun 19 15:56:50 2021	1624111010	33	973	1007	843
Sat Jun 19 15:56:34 2021	1624110994	33	973	1007	530
Sat Jun 19 15:56:37 2021	1624110997	35	972	1007	129
Sat Jun 19 15:56:47 2021	1624111007	29	977	1007	72
Sat Jun 19 15:56:33 2021	1624110993	37	970	1007	407
Sat Jun 19 15:56:47 2021	1624111007	32	975	1007	804
Sat Jun 19 15:56:47 2021	1624111007	34	973	1007	609
Sat Jun 19 15:56:22 2021	1624110982	34	973	1007	973
Sat Jun 19 15:56:30 2021	1624110990	30	977	1007	173
Sat Jun 19 15:56:23 2021	1624110983	32	975	1007	172
Sat Jun 19 15:56:43 2021	1624111003	36	971	1007	238
Sat Jun 19 15:56:50 2021	1624111010	32	976	1007	811
Sat Jun 19 15:56:22 2021	1624110982	27	980	1007	946
Sat Jun 19 15:56:47 2021	1624111007	38	970	1007	373
Sat Jun 19 15:56:34 2021	1624110994	33	975	1008	400
Sat Jun 19 15:56:24 2021	1624110984	30	978	1008	867
Sat Jun 19 15:56:39 2021	1624110999	34	974	1008	34
Sat Jun 19 15:56:37 2021	1624110997	30	978	1008	943
Sat Jun 19 15:56:39 2021	1624110999	33	975	1008	974
Sat Jun 19 15:56:47 2021	1624111007	34	974	1008	939
Sat Jun 19 15:56:39 2021	1624110999	31	976	1008	68
Sat Jun 19 15:56:37 2021	1624110997	34	974	1008	234
Sat Jun 19 15:56:33 2021	1624110993	36	972	1008	747
Sat Jun 19 15:56:43 2021	1624111003	35	973	1008	274
Sat Jun 19 15:56:49 2021	1624111009	28	980	1008	849
Sat Jun 19 15:56:30 2021	1624110990	39	969	1008	133
Sat Jun 19 15:56:34 2021	1624110994	37	971	1008	700
Sat Jun 19 15:56:40 2021	1624111000	30	978	1008	602
Sat Jun 19 15:56:22 2021	1624110982	35	973	1008	132
Sat Jun 19 15:56:37 2021	1624110997	32	976	1008	268
Sat Jun 19 15:56:47 2021	1624111007	31	977	1008	709
Sat Jun 19 15:56:22 2021	1624110982	35	974	1008	200
Sat Jun 19 15:56:31 2021	1624110991	33	975	1008	940
Sat Jun 19 15:56:31 2021	1624110991	28	981	1008	912
Sat Jun 19 15:56:37 2021	1624110997	29	979	1009	544
Sat Jun 19 15:56:40 2021	1624111000	37	971	1009	806
Sat Jun 19 15:56:47 2021	1624111007	32	976	1009	442
Sat Jun 19 15:56:47 2021	1624111007	32	977	1009	739
Sat Jun 19 15:56:47 2021	1624111007	32	976	1009	771
Sat Jun 19 15:56:34 2021	1624110994	32	977	1009	737
Sat Jun 19 15:56:50 2021	1624111010	33	975	1009	676
Sat Jun 19 15:56:24 2021	1624110984	33	975	1009	800
Sat Jun 19 15:56:47 2021	1624111007	30	978	1009	909
Sat Jun 19 15:56:47 2021	1624111007	33	976	1009	643
Sat Jun 19 15:56:48 2021	1624111008	29	980	1009	676
Sat Jun 19 15:56:50 2021	1624111010	37	972	1009	602
Sat Jun 19 15:56:47 2021	1624111007	37	972	1009	507
Sat Jun 19 15:56:47 2021	1624111007	36	973	1009	574
Sat Jun 19 15:56:24 2021	1624110984	30	979	1009	591
Sat Jun 19 15:56:50 2021	1624111010	33	976	1009	909
Sat Jun 19 15:56:43 2021	1624111003	31	978	1009	838
Sat Jun 19 15:56:24 2021	1624110984	36	973	1009	897
Sat Jun 19 15:56:50 2021	1624111010	33	976	1009	876
Sat Jun 19 15:56:50 2021	1624111010	34	975	1009	607
Sat Jun 19 15:56:37 2021	1624110997	30	979	1009	64
Sat Jun 19 15:56:39 2021	1624110999	36	973	1009	938
Sat Jun 19 15:56:34 2021	1624110994	34	975	1009	666
Sat Jun 19 15:56:33 2021	1624110993	33	976	1009	713
Sat Jun 19 15:56:25 2021	1624110985	35	974	1009	370
Sat Jun 19 15:56:20 2021	1624110980	34	975	1009	908
Sat Jun 19 15:56:47 2021	1624111007	35	974	1009	872
Sat Jun 19 15:56:31 2021	1624110991	32	977	1009	777
Sat Jun 19 15:56:50 2021	1624111010	34	975	1009	642
Sat Jun 19 15:56:40 2021	1624111000	32	977	1009	843
Sat Jun 19 15:56:43 2021	1624111003	33	977	1010	309
Sat Jun 19 15:56:37 2021	1624110997	33	977	1010	164
Sat Jun 19 15:56:38 2021	1624110998	30	980	1010	878
Sat Jun 19 15:56:47 2021	1624111007	37	973	1010	973
Sat Jun 19 15:56:34 2021	1624110994	34	976	1010	300
Sat Jun 19 15:56:24 2021	1624110984	34	976	1010	834
Sat Jun 19 15:56:33 2021	1624110993	30	980	1010	949
Sat Jun 19 15:56:20 2021	1624110980	30	980	1010	942
Sat Jun 19 15:56:50 2021	1624111010	33	977	1010	743
Sat Jun 19 15:56:47 2021	1624111007	31	979	1010	410
Sat Jun 19 15:56:37 2021	1624110997	34	976	1010	746
Sat Jun 19 15:56:25 2021	1624110985	33	977	1010	472
Sat Jun 19 15:56:31 2021	1624110991	31	979	1010	709
Sat Jun 19 15:56:37 2021	1624110997	33	978	1010	300
Sat Jun 19 15:56:47 2021	1624111007	34	977	1010	705
Sat Jun 19 15:56:25 2021	1624110985	33	977	1010	543
Sat Jun 19 15:56:21 2021	1624110981	34	976	1010	235
Sat Jun 19 15:56:33 2021	1624110993	31	980	1010	683
Sat Jun 19 15:56:21 2021	1624110981	34	976	1010	270
Sat Jun 19 15:56:21 2021	1624110981	31	979	1010	367
Sat Jun 19 15:56:24 2021	1624110984	34	977	1010	660
Sat Jun 19 15:56:39 2021	1624110999	34	976	1010	875
Sat Jun 19 15:56:25 2021	1624110985	36	975	1010	404
Sat Jun 19 15:56:22 2021	1624110982	31	979	1010	607
Sat Jun 19 15:56:50 2021	1624111010	32	979	1010	979
Sat Jun 19 15:56:41 2021	1624111001	30	980	1010	946
Sat Jun 19 15:56:46 2021	1624111006	35	975	1011	65
Sat Jun 19 15:56:49 2021	1624111009	33	978	1011	711
Sat Jun 19 15:56:44 2021	1624111004	28	982	1011	133
Sat Jun 19 15:56:21 2021	1624110981	30	980	1011	337
Sat Jun 19 15:56:40 2021	1624111000	30	980	1011	431
Sat Jun 19 15:56:40 2021	1624111000	38	972	1011	564
Sat Jun 19 15:56:37 2021	1624110997	33	978	1011	408
Sat Jun 19 15:56:39 2021	1624110999	33	977	1011	135
Sat Jun 19 15:56:33 2021	1624110993	36	975	1011	507
Sat Jun 19 15:56:44 2021	1624111004	33	978	1011	195
Sat Jun 19 15:56:31 2021	1624110991	36	975	1011	809
Sat Jun 19 15:56:34 2021	1624110994	34	977	1011	631
Sat Jun 19 15:56:43 2021	1624111003	40	971	1011	798
Sat Jun 19 15:56:33 2021	1624110993	34	977	1011	784
Sat Jun 19 15:56:46 2021	1624111006	33	978	1011	914
Sat Jun 19 15:56:37 2021	1624110997	37	974	1011	370
Sat Jun 19 15:56:46 2021	1624111006	35	976	1011	742
Sat Jun 19 15:56:39 2021	1624110999	33	979	1011	168
Sat Jun 19 15:56:21 2021	1624110981	34	977	1011	303
Sat Jun 19 15:56:37 2021	1624110997	32	979	1011	680
Sat Jun 19 15:56:37 2021	1624110997	34	978	1011	440
Sat Jun 19 15:56:44 2021	1624111004	33	979	1012	162
Sat Jun 19 15:56:33 2021	1624110993	33	979	1012	882
Sat Jun 19 15:56:48 2021	1624111008	31	981	1012	609
Sat Jun 19 15:56:22 2021	1624110982	31	981	1012	777
Sat Jun 19 15:56:37 2021	1624110997	35	977	1012	509
Sat Jun 19 15:56:33 2021	1624110993	35	976	1012	544
Sat Jun 19 15:56:49 2021	1624111009	36	976	1012	744
Sat Jun 19 15:56:37 2021	1624110997	33	979	1012	475
Sat Jun 19 15:56:37 2021	1624110997	34	978	1012	780
Sat Jun 19 15:56:23 2021	1624110983	32	980	1012	275
Sat Jun 19 15:56:41 2021	1624111001	33	979	1012	876
Sat Jun 19 15:56:48 2021	1624111008	33	979	1012	474
Sat Jun 19 15:56:37 2021	1624110997	38	975	1012	197
Sat Jun 19 15:56:46 2021	1624111006	37	975	1012	100
Sat Jun 19 15:56:48 2021	1624111008	32	980	1012	879
Sat Jun 19 15:56:46 2021	1624111006	31	981	1012	981
Sat Jun 19 15:56:44 2021	1624111004	31	981	1012	262
Sat Jun 19 15:56:47 2021	1624111007	35	977	1012	37
Sat Jun 19 15:56:49 2021	1624111009	34	979	1012	678
Sat Jun 19 15:56:43 2021	1624111003	35	977	1012	516
Sat Jun 19 15:56:52 2021	1624111012	34	978	1012	812
Sat Jun 19 15:56:37 2021	1624110997	38	975	1012	333
Sat Jun 19 15:56:39 2021	1624110999	36	977	1012	99
Sat Jun 19 15:56:31 2021	1624110991	33	979	1012	879
Sat Jun 19 15:56:22 2021	1624110982	33	980	1012	709
Sat Jun 19 15:56:37 2021	1624110997	29	983	1012	886
Sat Jun 19 15:56:31 2021	1624110991	33	980	1013	846
Sat Jun 19 15:56:48 2021	1624111008	36	976	1013	640
Sat Jun 19 15:56:33 2021	1624110993	34	978	1013	848
Sat Jun 19 15:56:50 2021	1624111010	36	977	1013	775
Sat Jun 19 15:56:48 2021	1624111008	33	980	1013	980
Sat Jun 19 15:56:24 2021	1624110984	40	973	1013	761
Sat Jun 19 15:56:44 2021	1624111004	29	984	1013	737
Sat Jun 19 15:56:22 2021	1624110982	34	979	1013	638
Sat Jun 19 15:56:43 2021	1624111003	36	977	1013	480
Sat Jun 19 15:56:37 2021	1624110997	35	978	1013	610
Sat Jun 19 15:56:49 2021	1624111009	39	974	1013	639
Sat Jun 19 15:56:25 2021	1624110985	37	976	1013	505
Sat Jun 19 15:56:41 2021	1624111001	36	977	1013	909
Sat Jun 19 15:56:48 2021	1624111008	29	984	1013	376
Sat Jun 19 15:56:40 2021	1624111000	40	973	1013	697
Sat Jun 19 15:56:43 2021	1624111003	35	978	1013	341
Sat Jun 19 15:56:37 2021	1624110997	35	978	1013	645
Sat Jun 19 15:56:22 2021	1624110982	35	979	1013	807
Sat Jun 19 15:56:44 2021	1624111004	30	983	1013	535
Sat Jun 19 15:56:41 2021	1624111001	36	978	1013	977
Sat Jun 19 15:56:48 2021	1624111008	32	981	1013	508
Sat Jun 19 15:56:39 2021	1624110999	33	980	1013	201
Sat Jun 19 15:56:33 2021	1624110993	30	983	1013	818
Sat Jun 19 15:56:43 2021	1624111003	36	978	1014	551
Sat Jun 19 15:56:20 2021	1624110980	29	984	1014	878
Sat Jun 19 15:56:33 2021	1624110993	34	980	1014	581
Sat Jun 19 15:56:20 2021	1624110980	32	981	1014	638
Sat Jun 19 15:56:33 2021	1624110993	34	980	1014	649
Sat Jun 19 15:56:43 2021	1624111003	28	986	1014	452
Sat Jun 19 15:56:43 2021	1624111003	36	978	1014	378
Sat Jun 19 15:56:40 2021	1624111000	33	981	1014	331
Sat Jun 19 15:56:51 2021	1624111011	33	981	1014	508
Sat Jun 19 15:56:52 2021	1624111012	30	984	1014	953
Sat Jun 19 15:56:50 2021	1624111010	36	978	1014	942
Sat Jun 19 15:56:48 2021	1624111008	33	981	1014	404
Sat Jun 19 15:56:49 2021	1624111009	34	980	1014	781
Sat Jun 19 15:56:44 2021	1624111004	34	980	1014	228
Sat Jun 19 15:56:48 2021	1624111008	35	979	1014	33
Sat Jun 19 15:56:22 2021	1624110982	35	979	1014	979
Sat Jun 19 15:56:44 2021	1624111004	32	982	1014	101
Sat Jun 19 15:56:52 2021	1624111012	36	979	1014	846
Sat Jun 19 15:56:48 2021	1624111008	33	981	1014	742
Sat Jun 19 15:56:37 2021	1624110997	34	980	1014	712
Sat Jun 19 15:56:49 2021	1624111009	32	982	1014	68
Sat Jun 19 15:56:37 2021	1624110997	35	980	1014	915
Sat Jun 19 15:56:46 2021	1624111006	32	982	1014	882
Sat Jun 19 15:56:20 2021	1624110980	34	980	1014	568
Sat Jun 19 15:56:48 2021	1624111008	33	982	1014	846
Sat Jun 19 15:56:48 2021	1624111008	33	981	1014	709
Sat Jun 19 15:56:38 2021	1624110998	33	981	1015	908
Sat Jun 19 15:56:23 2021	1624110983	40	975	1015	205
Sat Jun 19 15:56:46 2021	1624111006	30	985	1015	279
Sat Jun 19 15:56:39 2021	1624110999	34	981	1015	235
Sat Jun 19 15:56:39 2021	1624110999	32	983	1015	306
Sat Jun 19 15:56:44 2021	1624111004	35	979	1015	326
Sat Jun 19 15:56:46 2021	1624111006	34	981	1015	947
Sat Jun 19 15:56:49 2021	1624111009	38	976	1015	877
Sat Jun 19 15:56:22 2021	1624110982	35	980	1015	742
Sat Jun 19 15:56:23 2021	1624110983	32	983	1015	245
Sat Jun 19 15:56:25 2021	1624110985	31	984	1015	614
Sat Jun 19 15:56:34 2021	1624110994	29	985	1015	270
Sat Jun 19 15:56:52 2021	1624111012	35	980	1015	882
Sat Jun 19 15:56:44 2021	1624111004	33	982	1015	293
Sat Jun 19 15:56:51 2021	1624111011	31	984	1015	541
Sat Jun 19 15:56:25 2021	1624110985	38	977	1015	576
Sat Jun 19 15:56:44 2021	1624111004	32	983	1015	889
Sat Jun 19 15:56:38 2021	1624110998	31	984	1015	745
Sat Jun 19 15:56:22 2021	1624110982	33	982	1015	946
Sat Jun 19 15:56:24 2021	1624110984	38	978	1015	622
Sat Jun 19 15:56:33 2021	1624110993	34	981	1015	915
Sat Jun 19 15:56:43 2021	1624111003	38	977	1015	414
Sat Jun 19 15:56:48 2021	1624111008	34	982	1015	775
Sat Jun 19 15:56:43 2021	1624111003	35	980	1015	657
Sat Jun 19 15:56:48 2021	1624111008	35	980	1015	945
Sat Jun 19 15:56:44 2021	1624111004	34	982	1015	67
Sat Jun 19 15:56:44 2021	1624111004	35	981	1015	465
Sat Jun 19 15:56:33 2021	1624110993	35	980	1015	979
Sat Jun 19 15:56:40 2021	1624111000	32	983	1015	364
Sat Jun 19 15:56:31 2021	1624110991	37	978	1015	740
Sat Jun 19 15:56:48 2021	1624111008	36	980	1015	438
Sat Jun 19 15:56:25 2021	1624110985	38	977	1015	645
Sat Jun 19 15:56:21 2021	1624110981	37	979	1015	398
Sat Jun 19 15:56:48 2021	1624111008	32	983	1016	541
Sat Jun 19 15:56:30 2021	1624110990	27	988	1016	353
Sat Jun 19 15:56:49 2021	1624111009	34	981	1016	814
Sat Jun 19 15:56:48 2021	1624111008	37	979	1016	809
Sat Jun 19 15:56:44 2021	1624111004	37	979	1016	428
Sat Jun 19 15:56:52 2021	1624111012	35	980	1016	918
Sat Jun 19 15:56:24 2021	1624110984	32	984	1016	559
Sat Jun 19 15:56:22 2021	1624110982	31	984	1016	913
Sat Jun 19 15:56:44 2021	1624111004	34	981	1016	669
Sat Jun 19 15:56:33 2021	1624110993	34	982	1016	615
Sat Jun 19 15:56:46 2021	1624111006	35	981	1016	309
Sat Jun 19 15:56:23 2021	1624110983	32	984	1016	409
Sat Jun 19 15:56:44 2021	1624111004	32	984	1016	956
Sat Jun 19 15:56:23 2021	1624110983	32	984	1016	344
Sat Jun 19 15:56:43 2021	1624111003	32	984	1016	726
Sat Jun 19 15:56:41 2021	1624111001	31	985	1016	812
Sat Jun 19 15:56:22 2021	1624110982	32	984	1016	880
Sat Jun 19 15:56:44 2021	1624111004	42	974	1016	847
Sat Jun 19 15:56:50 2021	1624111010	35	981	1016	572
Sat Jun 19 15:56:46 2021	1624111006	37	979	1016	777
Sat Jun 19 15:56:49 2021	1624111009	32	984	1016	371
Sat Jun 19 15:56:46 2021	1624111006	33	983	1016	814
Sat Jun 19 15:56:40 2021	1624111000	31	986	1017	164
Sat Jun 19 15:56:24 2021	1624110984	32	985	1017	527
Sat Jun 19 15:56:20 2021	1624110980	36	981	1017	602
Sat Jun 19 15:56:49 2021	1624111009	35	981	1017	915
Sat Jun 19 15:56:20 2021	1624110980	29	988	1017	781
Sat Jun 19 15:56:44 2021	1624111004	37	980	1017	361
Sat Jun 19 15:56:44 2021	1624111004	36	981	1017	565
Sat Jun 19 15:56:37 2021	1624110997	36	980	1017	573
Sat Jun 19 15:56:44 2021	1624111004	30	987	1017	398
Sat Jun 19 15:56:41 2021	1624111001	32	985	1017	844
Sat Jun 19 15:56:40 2021	1624111000	33	984	1017	298
Sat Jun 19 15:56:42 2021	1624111002	32	985	1017	780
Sat Jun 19 15:56:52 2021	1624111012	31	986	1017	781
Sat Jun 19 15:56:23 2021	1624110983	33	984	1017	377
Sat Jun 19 15:56:48 2021	1624111008	38	980	1017	68
Sat Jun 19 15:56:46 2021	1624111006	33	984	1017	175
Sat Jun 19 15:56:40 2021	1624111000	34	983	1017	771
Sat Jun 19 15:56:39 2021	1624110999	37	980	1017	269
Sat Jun 19 15:56:30 2021	1624110990	34	983	1017	415
Sat Jun 19 15:56:34 2021	1624110994	37	981	1017	234
Sat Jun 19 15:56:43 2021	1624111003	35	982	1017	622
Sat Jun 19 15:56:40 2021	1624111000	35	982	1017	396
Sat Jun 19 15:56:30 2021	1624110990	34	984	1017	381
Sat Jun 19 15:56:49 2021	1624111009	33	985	1017	950
Sat Jun 19 15:56:24 2021	1624110984	34	984	1017	423
Sat Jun 19 15:56:44 2021	1624111004	30	987	1017	638
Sat Jun 19 15:56:46 2021	1624111006	34	984	1018	208
Sat Jun 19 15:56:34 2021	1624110994	33	985	1018	201
Sat Jun 19 15:56:37 2021	1624110997	34	984	1018	852
Sat Jun 19 15:56:33 2021	1624110993	36	981	1018	36
Sat Jun 19 15:56:40 2021	1624111000	33	984	1018	737
Sat Jun 19 15:56:20 2021	1624110980	29	989	1018	539
Sat Jun 19 15:56:48 2021	1624111008	36	982	1018	573
Sat Jun 19 15:56:40 2021	1624111000	32	986	1018	132
Sat Jun 19 15:56:20 2021	1624110980	33	985	1018	845
Sat Jun 19 15:56:43 2021	1624111003	35	983	1018	587
Sat Jun 19 15:56:44 2021	1624111004	34	984	1018	703
Sat Jun 19 15:56:32 2021	1624110992	34	985	1018	310
Sat Jun 19 15:56:32 2021	1624110992	28	990	1018	105
Sat Jun 19 15:56:40 2021	1624111000	34	984	1018	195
Sat Jun 19 15:56:22 2021	1624110982	37	981	1018	843
Sat Jun 19 15:56:36 2021	1624110996	32	986	1018	986
Sat Jun 19 15:56:30 2021	1624110990	38	980	1018	279
Sat Jun 19 15:56:46 2021	1624111006	37	981	1018	242
Sat Jun 19 15:56:43 2021	1624111003	35	983	1018	759
Sat Jun 19 15:56:40 2021	1624111000	35	983	1018	263
Sat Jun 19 15:56:44 2021	1624111004	32	987	1018	814
Sat Jun 19 15:56:41 2021	1624111001	30	989	1018	722
Sat Jun 19 15:56:37 2021	1624110997	38	981	1018	815
Sat Jun 19 15:56:43 2021	1624111003	34	985	1018	692
Sat Jun 19 15:56:22 2021	1624110982	31	988	1018	502
Sat Jun 19 15:56:49 2021	1624111009	35	984	1019	984
Sat Jun 19 15:56:42 2021	1624111002	32	986	1019	714
Sat Jun 19 15:56:38 2021	1624110998	34	984	1019	811
Sat Jun 19 15:56:46 2021	1624111006	34	985	1019	848
Sat Jun 19 15:56:48 2021	1624111008	31	988	1019	345
Sat Jun 19 15:56:48 2021	1624111008	31	987	1019	146
Sat Jun 19 15:56:44 2021	1624111004	34	985	1019	33
Sat Jun 19 15:56:49 2021	1624111009	34	985	1019	234
Sat Jun 19 15:56:48 2021	1624111008	35	984	1019	911
Sat Jun 19 15:56:48 2021	1624111008	32	986	1019	213
Sat Jun 19 15:56:41 2021	1624111001	34	984	1019	655
Sat Jun 19 15:56:42 2021	1624111002	33	985	1019	746
Sat Jun 19 15:56:38 2021	1624110998	35	984	1019	776
Sat Jun 19 15:56:40 2021	1624111000	35	984	1019	97
Sat Jun 19 15:56:22 2021	1624110982	36	983	1019	571
Sat Jun 19 15:56:46 2021	1624111006	35	984	1019	344
Sat Jun 19 15:56:30 2021	1624110990	33	986	1019	449
Sat Jun 19 15:56:41 2021	1624111001	35	984	1019	752
Sat Jun 19 15:56:23 2021	1624110983	37	982	1019	307
Sat Jun 19 15:56:40 2021	1624111000	35	985	1019	228
Sat Jun 19 15:56:30 2021	1624110990	34	985	1019	245
Sat Jun 19 15:56:51 2021	1624111011	31	988	1019	476
Sat Jun 19 15:56:44 2021	1624111004	37	982	1019	601
Sat Jun 19 15:56:32 2021	1624110992	35	984	1019	136
Sat Jun 19 15:56:44 2021	1624111004	35	984	1019	779
Sat Jun 19 15:56:44 2021	1624111004	35	985	1019	501
Sat Jun 19 15:56:49 2021	1624111009	31	988	1020	506
Sat Jun 19 15:56:42 2021	1624111002	38	981	1020	857
Sat Jun 19 15:56:22 2021	1624110982	37	983	1020	672
Sat Jun 19 15:56:53 2021	1624111013	32	988	1020	202
Sat Jun 19 15:56:24 2021	1624110984	34	986	1020	389
Sat Jun 19 15:56:30 2021	1624110990	41	979	1020	203
Sat Jun 19 15:56:41 2021	1624111001	32	987	1020	689
Sat Jun 19 15:56:41 2021	1624111001	33	987	1020	379
Sat Jun 19 15:56:41 2021	1624111001	32	988	1020	589
Sat Jun 19 15:56:21 2021	1624110981	40	980	1020	435
Sat Jun 19 15:56:38 2021	1624110998	32	988	1020	713
Sat Jun 19 15:56:38 2021	1624110998	33	987	1020	845
Sat Jun 19 15:56:42 2021	1624111002	34	986	1020	680
