Percentage served,Time in ms
0,2.999
1,2.999
2,2.999
3,3.999
4,3.999
5,4.000
6,4.000
7,4.000
8,4.000
9,5.000
10,5.000
11,7.001
12,7.001
13,7.038
14,7.038
15,8.999
16,8.999
17,9.002
18,9.002
19,10.001
20,10.001
21,13.918
22,13.918
23,17.986
24,17.986
25,18.859
26,18.859
27,19.013
28,19.013
29,22.004
30,22.004
31,24.603
32,24.603
33,26.569
34,26.569
35,27.181
36,27.181
37,31.000
38,31.000
39,31.010
40,31.010
41,33.101
42,33.101
43,34.366
44,34.366
45,44.996
46,44.996
47,52.229
48,52.229
49,54.555
50,54.555
51,59.970
52,59.970
53,66.077
54,66.077
55,69.901
56,69.901
57,83.487
58,83.487
59,88.669
60,88.669
61,93.754
62,93.754
63,97.564
64,97.564
65,102.290
66,102.290
67,102.336
68,102.336
69,113.177
70,113.177
71,131.328
72,131.328
73,137.754
74,137.754
75,189.696
76,189.696
77,202.444
78,202.444
79,375.421
80,375.421
81,484.299
82,484.299
83,551.105
84,551.105
85,573.599
86,573.599
87,600.138
88,600.138
89,792.219
90,792.219
91,981.230
92,981.230
93,2139.662
94,2139.662
95,2752.747
96,2752.747
97,2903.215
98,2903.215
99,1447515591.600
100,2903.215
