starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 22:34:51 2021	1624134891	28	31	59	30
Sat Jun 19 22:34:50 2021	1624134890	30	32	62	31
Sat Jun 19 22:34:53 2021	1624134893	31	32	63	31
Sat Jun 19 22:34:52 2021	1624134892	30	33	63	32
Sat Jun 19 22:34:50 2021	1624134890	32	31	64	30
Sat Jun 19 22:34:53 2021	1624134893	30	36	66	34
Sat Jun 19 22:34:51 2021	1624134891	33	33	67	31
Sat Jun 19 22:34:52 2021	1624134892	34	33	67	32
Sat Jun 19 22:34:51 2021	1624134891	30	38	68	37
Sat Jun 19 22:34:50 2021	1624134890	31	37	68	36
Sat Jun 19 22:34:53 2021	1624134893	34	34	68	33
Sat Jun 19 22:34:49 2021	1624134889	32	36	68	35
Sat Jun 19 22:34:52 2021	1624134892	35	34	69	33
Sat Jun 19 22:34:53 2021	1624134893	36	34	69	34
Sat Jun 19 22:34:51 2021	1624134891	36	33	69	33
Sat Jun 19 22:34:53 2021	1624134893	36	34	70	33
Sat Jun 19 22:34:52 2021	1624134892	35	35	70	34
Sat Jun 19 22:34:51 2021	1624134891	34	36	70	35
Sat Jun 19 22:34:50 2021	1624134890	34	36	70	35
Sat Jun 19 22:34:50 2021	1624134890	34	36	71	35
Sat Jun 19 22:34:50 2021	1624134890	37	33	71	33
Sat Jun 19 22:34:52 2021	1624134892	38	33	71	32
Sat Jun 19 22:34:53 2021	1624134893	34	37	72	37
Sat Jun 19 22:34:53 2021	1624134893	36	36	72	36
Sat Jun 19 22:34:52 2021	1624134892	34	38	73	37
Sat Jun 19 22:34:50 2021	1624134890	39	34	73	33
Sat Jun 19 22:34:51 2021	1624134891	39	35	74	34
Sat Jun 19 22:34:52 2021	1624134892	36	39	75	38
Sat Jun 19 22:34:50 2021	1624134890	37	38	75	37
Sat Jun 19 22:34:50 2021	1624134890	35	40	75	40
Sat Jun 19 22:34:51 2021	1624134891	40	36	76	36
Sat Jun 19 22:34:50 2021	1624134890	33	44	77	44
Sat Jun 19 22:34:51 2021	1624134891	38	40	77	40
Sat Jun 19 22:34:52 2021	1624134892	38	40	78	40
Sat Jun 19 22:34:53 2021	1624134893	37	42	78	41
Sat Jun 19 22:34:52 2021	1624134892	33	46	78	46
Sat Jun 19 22:34:50 2021	1624134890	36	43	79	42
Sat Jun 19 22:34:53 2021	1624134893	36	44	79	44
Sat Jun 19 22:34:53 2021	1624134893	38	43	80	43
Sat Jun 19 22:34:51 2021	1624134891	37	46	83	45
Sat Jun 19 22:34:49 2021	1624134889	37	46	83	45
Sat Jun 19 22:34:51 2021	1624134891	36	111	146	110
Sat Jun 19 22:34:49 2021	1624134889	45	115	160	114
Sat Jun 19 22:34:50 2021	1624134890	31	146	177	145
Sat Jun 19 22:34:52 2021	1624134892	38	144	182	143
Sat Jun 19 22:34:49 2021	1624134889	35	148	183	147
Sat Jun 19 22:34:52 2021	1624134892	38	149	188	149
Sat Jun 19 22:34:53 2021	1624134893	29	163	192	162
Sat Jun 19 22:34:51 2021	1624134891	38	177	215	176
Sat Jun 19 22:34:49 2021	1624134889	41	251	293	250
